source,wr,n,realized,mc_pred,hb_pred,mc_bias,hb_bias,mc_brier,hb_brier
JST_pool_eqw,0.03,912,0.9835526315789473,0.9524188596491228,0.9923522400983166,-0.031133771929824583,0.008799608519369229,0.01744043393640351,0.016257198044309407
JST_pool_eqw,0.035,912,0.9528508771929824,0.9184627192982455,0.9739645619578936,-0.034388157894736926,0.021113684764911156,0.04740022176535088,0.04553729668489409
JST_pool_eqw,0.04,912,0.9111842105263158,0.8743728070175438,0.9144042631571735,-0.03681140350877199,0.0032200526308576727,0.08595625,0.08094316615182881
JST_pool_eqw,0.045,912,0.8486842105263158,0.8228157894736841,0.8229127650581851,-0.025868421052631763,-0.025771445468130705,0.13725876644736842,0.12993139636105067
JST_pool_eqw,0.05,912,0.7894736842105263,0.7647719298245614,0.7146598365945775,-0.02470175438596489,-0.07481384761594878,0.18049837993421053,0.17419643152266542
JST_pool_eqw,0.055,912,0.731359649122807,0.7002719298245613,0.6334348074255858,-0.03108771929824572,-0.09792484169722127,0.21680032017543857,0.2078904736023034
JST_pool_eqw,0.06,912,0.6754385964912281,0.6276425438596491,0.5589708961095025,-0.047796052631578934,-0.1164677003817256,0.24528465378289474,0.23445302990292208
JST_pool_eqw,0.07,912,0.5910087719298246,0.4671732456140351,0.39491028641532044,-0.12383552631578948,-0.19609848551450415,0.28420381387061405,0.28239263994260905
JST_pool_eqw,0.08,912,0.4550438596491228,0.3214210526315789,0.23408744180689406,-0.13362280701754392,-0.22095641784222875,0.29035674999999994,0.2953028086781341
US_100stock,0.03,57,1.0,0.9818728070175439,1.0,-0.01812719298245613,0.0,0.0003599660087719298,0.0
US_100stock,0.035,57,1.0,0.956078947368421,0.9914018967167353,-0.04392105263157897,-0.008598103283264713,0.0020558903508771918,0.00011618407674784259
US_100stock,0.04,57,0.9473684210526315,0.9147214912280702,0.9754642744782545,-0.0326469298245613,0.02809585342562293,0.05430979797149123,0.050139795265536906
US_100stock,0.045,57,0.9122807017543859,0.8613157894736844,0.8899453610127319,-0.050964912280701546,-0.022335340741653997,0.09035782894736842,0.07946188171178664
US_100stock,0.05,57,0.8070175438596491,0.805576754385965,0.7985499287991435,-0.0014407894736840898,-0.008467615060505529,0.17440360498903507,0.1507491729911922
US_100stock,0.055,57,0.7894736842105263,0.7463399122807016,0.7391151389828658,-0.043133771929824705,-0.05035854522766048,0.19111808744517544,0.16286863546751157
US_100stock,0.06,57,0.7192982456140351,0.6794627192982456,0.6670581884151702,-0.03983552631578946,-0.05224005719886493,0.23438055509868422,0.19542460939544098
US_100stock,0.07,57,0.6666666666666666,0.5336578947368421,0.4728300340673331,-0.13300877192982452,-0.19383663259933354,0.2740732077850877,0.25005508201339666
US_100stock,0.08,57,0.5614035087719298,0.3857785087719298,0.3186346500079181,-0.17562499999999998,-0.24276885876401172,0.3103137974232456,0.29426812090673593
JST_pool_early_1915_1938,0.03,384,0.9817708333333334,0.943234375,1.0,-0.03853645833333341,0.01822916666666663,0.02103019986979167,0.018229166666666668
JST_pool_early_1915_1938,0.035,384,0.9635416666666666,0.9029114583333334,0.9992252649736203,-0.06063020833333321,0.03568359830695367,0.04302526627604166,0.03636583234724491
JST_pool_early_1915_1938,0.04,384,0.9322916666666666,0.8563645833333333,0.9928681701028381,-0.07592708333333331,0.06057650343617149,0.08027863020833333,0.06680865386120192
JST_pool_early_1915_1938,0.045,384,0.8932291666666666,0.8034739583333333,0.9486603964670963,-0.08975520833333328,0.05543122980042969,0.12444926757812502,0.09889706242251699
JST_pool_early_1915_1938,0.05,384,0.8203125,0.7403281250000001,0.8856281748130789,-0.07998437499999989,0.06531567481307887,0.18784720768229168,0.16500453886215913
JST_pool_early_1915_1938,0.055,384,0.7473958333333334,0.664640625,0.8328549080693121,-0.08275520833333339,0.08545907473597869,0.23707969335937498,0.2242280581512909
JST_pool_early_1915_1938,0.06,384,0.6822916666666666,0.5758437500000001,0.7641413956078128,-0.10644791666666653,0.08184972894114617,0.27227877734375,0.25683791532582995
JST_pool_early_1915_1938,0.07,384,0.5338541666666666,0.38245833333333334,0.5030306654523761,-0.15139583333333329,-0.03082350121429056,0.3138422317708333,0.26001631081662335
JST_pool_early_1915_1938,0.08,384,0.3645833333333333,0.22853645833333333,0.26132122505889577,-0.13604687499999998,-0.10326210827443755,0.2865534264322917,0.2428032198591911
