Year,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1991,0.0017818263454365546,0.0030466943361908694,-0.06816462250702393,0.1272084113603955,0.056681071535538585,0.0640579722765049
1992,-0.18573358997576994,-0.21202930480191107,-0.21956317462632724,-0.10565433405018843,-0.07477767510455025,-0.09733480736273603
1993,0.20695512477996525,0.2487419249493188,0.4077728682240178,0.12745853044869393,0.27779351475926806,0.3590466063909825
1994,0.039194835404526174,0.06622422211094126,0.13393810922268368,-0.006686560713136003,-0.0147200521745956,0.028856126702447193
1995,0.09310665887874059,0.06313716117724466,0.047388292546124866,0.21718949341105853,0.14893395094341844,0.1329945348702044
1996,0.1385292021598774,0.15057961406916576,0.1750970279656403,0.1639362329275058,0.20047616222350007,0.16623911076878617
1997,0.008954029488489335,0.06451538755675212,0.14847454434088214,0.16010533519760872,0.1931454116062572,0.26613283720474623
1998,0.10372474494669603,0.025066004155516408,0.14672225625913127,0.27800512883404815,0.23809260841898228,0.21626532783051267
1999,0.4600377944844336,0.22363735429820686,0.15125509799164694,0.1881519148700157,0.14731886907072722,0.04424236385635072
2000,-0.32689920437683384,-0.15255531380457565,-0.012666425055603558,-0.2677713756782727,-0.015587823844499415,-0.045993285289020025
2001,-0.4037311978728527,-0.1858271339073586,-0.04659445128812967,-0.3145527197519815,-0.17628123153812536,-0.15741006364586796
2002,-0.27321725575140066,-0.09183891631552465,0.08172403847779641,-0.21540866819046245,-0.15015554250973395,-0.1496555211396694
2003,0.465061385429713,0.5411769147716157,0.6366961529236825,0.2918207987159318,0.41224173481555404,0.5216054108139305
2004,0.20599392692706053,0.2942952319522396,0.330271305295585,0.1330605906890503,0.22208739369374286,0.22444831943584687
2005,0.07319351415119946,0.1409855006232128,0.1957090776480208,0.05094285557281242,0.07734122999693072,0.1110758780342127
2006,0.3736906938640854,0.3854031194147578,0.4548577145137911,0.2712521887601418,0.3153113932522005,0.40576511125077075
2007,-0.023241716524011302,0.044875738890135075,0.03780171991191672,0.1349313529688454,0.11851145877355673,0.07289348474644997
2008,-0.5381196381349749,-0.4990000566873225,-0.5057939973892811,-0.39976795348474947,-0.4512727017937759,-0.4980024094542288
2009,0.5070750407900921,0.3980080539249624,0.4546153507733186,0.2908408861586229,0.2766906533192397,0.37453368118760744
2010,0.14116385695842215,0.1852677360071362,0.07817888306880083,0.09184437455966288,0.03462561368748962,-0.015090182535536623
2011,-0.17310036230389636,-0.21073037261613037,-0.26395190146438974,-0.06956968675294406,-0.1383944591050731,-0.22925101630933842
2012,0.22147905016050262,0.19902227416861873,0.2027237692700985,0.19685089777650888,0.13692609328903416,0.2533513227767705
2013,0.2961374111553494,0.3251964108406804,0.3899459947194861,0.19671825789892305,0.25477413735148735,0.30669469116782255
2014,-0.09491071816693875,-0.0735761040930466,-0.10466206225477181,-0.02154878885863709,-0.06443233900946876,-0.11706651247166999
2015,0.16207785666592822,0.10037545423901473,-0.014514196882002839,0.038476178084335455,0.011982413470541964,-0.11693019148044048
2016,-0.045303560277642596,0.01227660415750531,0.07686258756540121,-0.0844164957301452,-0.0029620070941845933,0.010651160769499901
2017,0.2968916130893675,0.33777063790240436,0.3285314875258194,0.2329767523019104,0.28229637104658667,0.26009023779763907
2018,-0.19770451718692372,-0.1973603420765906,-0.19424807514625497,-0.11107782051055881,-0.1729032713333134,-0.18003823094442073
2019,0.25469593446043626,0.16625646311970832,0.19455147537150186,0.3059343400006296,0.20803428079124608,0.13620930744166992
2020,0.41365979632556105,0.1774645866967972,0.04023947418908613,0.16162355356564828,0.0890601974164178,-0.05889637619339183
2021,0.011474189191063244,0.09358025418800398,0.12484153487494742,0.13906729675015028,0.031621852348834745,0.11838326565973922
2022,-0.39595548860136887,-0.29671486418276694,-0.16904142941710742,-0.2752185025063977,-0.1900819269803895,-0.14257014418730207
2023,0.014986327311714565,0.03765494663784685,0.16192985346279798,0.14505786260995057,0.1464114080402561,0.17465304960170092
2024,-0.08547633891178175,-0.04361997393300043,-0.030390582887802498,-0.05834787196406355,-0.01295681105361468,0.04905910101290023
2025,0.1901818447082071,0.2848959005575291,0.3372251508045543,0.16723689425540833,0.30091709877145867,0.5952353046630163
