Year,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1991,0.18651766618655397,0.3073675733794319,0.3363124128199222,0.29918050082313363,0.31993962892329586,0.426842724513528
1992,0.014269868331579172,0.054416395176151156,0.010635707418795048,0.07765424521686848,-0.07181986504211901,0.2046964590354552
1993,0.7967140692208521,0.6986041040762445,0.942157730819857,0.6339676831721937,0.7696219687545733,1.007986823328967
1994,-0.2700011622031486,-0.18230140251384575,-0.12160819621235075,-0.18175058514556952,-0.12576663836879876,-0.23413382784636438
1995,-0.009127772365932985,0.033733924036417395,0.01731919336123844,0.13240238348224898,0.1292160927382202,0.13878169855290734
1996,0.2798476065916935,0.1955964759965243,0.25789896995245476,0.09917082478114092,0.22641574586519742,0.2997407163625567
1997,-0.3447967164047122,-0.26751342701358205,-0.2617321169247929,-0.18874846788633948,-0.21127079234040846,-0.2941323763714393
1998,-0.18793565585505467,-0.17776426791913558,-0.20466901206580201,-0.10125774653258535,-0.09990666940269344,0.028793380521845213
1999,0.529519483349872,0.5899485964476887,0.7489050484497366,0.42462269117967955,0.3819114131834087,0.4709975220847413
2000,-0.4278268443126978,-0.3049715001546365,-0.22893724562086404,-0.23228466993450236,-0.12034312638185263,-0.08411874177559098
2001,-0.28702942194210035,-0.03735345081413255,-0.020962233226670568,-0.11441201819758406,-0.08783224659053157,-0.038083480730843666
2002,-0.2258075619597375,-0.009671580608099806,0.022875469744276122,-0.11386995028134683,-0.07975535506121378,-0.08671042355308389
2003,0.46203751477332244,0.6878411409123879,0.8184130418060336,0.45611034100488923,0.4536141936113054,0.5123932654338663
2004,0.13630768372080304,0.1695693584522291,0.26232173709752726,0.2450072547976907,0.22068284919435177,0.31887905145780815
2005,-0.01943229512804323,-0.013004918263678222,0.07780343009857771,0.17145234177147906,0.07338732625580269,0.06844843664412026
2006,0.4023362196236584,0.36455450654317345,0.3983428401404161,0.2862259115899013,0.3320945501084165,0.2970752359546587
2007,0.17574292739533126,0.30274464172038207,0.4614205465333512,0.4465778554403954,0.1804313082960738,0.3255920114830859
2008,-0.6803070856389308,-0.6052938044853335,-0.58793043100096,-0.5266110804506121,-0.4750961726834533,-0.5166102805777828
2009,1.0427413013824132,0.9707069024215287,0.9519478880812764,0.6843104075567381,0.7673091189366084,0.6188714778663671
2010,0.32167132485249783,0.3184988364285022,0.25596685587175116,0.20250655032393694,0.18837215948717678,0.2540281527416248
2011,-0.2586441573735988,-0.29404589879382736,-0.256262930533775,-0.19831387591747274,-0.10958210997435158,-0.2478075006792505
2012,0.03704775329853538,0.13421667372053214,0.25180241147861815,0.2078630264212291,0.2077031343441178,0.32715059604579766
2013,-0.06939810338587993,0.003653168631369219,0.12578761234543512,0.09897535744974917,0.04396930047302394,0.012659397875911527
2014,-0.09071606761972217,-0.05940054882048984,-0.030548918984672158,-0.09041421837419883,-0.01950189620455467,0.07064953793964346
2015,0.14710992108529508,-0.05892465430873961,0.007895532826175389,-0.11485899010808909,-0.101433747502092,-0.0579305129074833
2016,-0.07365281488788167,0.016490491282410202,0.08557319986339307,-0.052796104432553226,0.07097672540103139,0.06991556814485489
2017,0.10734741206585752,0.10600048353983893,0.181756374030422,0.22583977955333223,0.22117236286056907,0.273554611341732
2018,-0.2715790237844864,-0.24521543578085825,-0.1973495680768511,-0.11323357644968457,-0.1337672734068558,-0.12311771159725171
2019,0.06884788259402264,0.027281157725605798,0.031626353637621785,0.2154749748945186,0.0979796443507781,0.07049604722286862
2020,0.20142341490397664,0.13866310655227077,-0.0026735923437992692,0.2030986999383857,0.037148491186356214,-0.03856853925799575
2021,0.07132796190518875,0.07636322814699836,0.1384939809617809,-0.06598106522307956,0.0012156485530359085,0.050118894621437926
2022,-0.3582322413072727,-0.299332994604813,-0.14807851693841312,-0.23892065033172516,-0.06920962341673664,-0.009140545524013222
2023,-0.1451122031722888,-0.03154608787768798,-0.04544421244392094,0.01178460229111078,0.023567486500993606,-0.061237372808698565
2024,-0.10108531380222652,-0.04117753755640463,0.05682511721796879,-0.036317979815045476,0.056121465397780845,0.0606890400933493
2025,0.2398620724638476,0.37906135638536465,0.4305784750071713,0.0020595107918277566,0.3577562261471583,0.24295505040909537
