Year,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1991,0.5603956419875313,0.3814165571650827,0.339349515487823,0.41260223077333213,0.17988526368627933,0.2442176726053935
1992,-0.011559045140083657,0.10624360485380557,0.2236473637174332,0.0037327010205325806,0.07655244745418877,0.08589460204179455
1993,0.07118937681513571,0.14169348273948446,0.2723178286519494,-0.019486971586145763,0.13050071185846113,0.165367925838678
1994,-0.11459487144751357,-0.04934903532902568,-0.03069665912017494,-0.005128897195019411,-0.024151681593986063,-0.05456527688682411
1995,0.320044226829153,0.23616560886621807,0.2796277744169675,0.34353609174687594,0.30801938230749837,0.3413815594855567
1996,0.06347999521231285,0.1534464172814043,0.22508274693389474,0.17599155662597887,0.19198529915383333,0.2073456977905701
1997,0.05573195838325806,0.17352402537663747,0.3128985189103193,0.27820115814919877,0.29190954390768087,0.33032283786287464
1998,-0.04105546667838522,-0.05637634451097229,-0.07050426722903347,0.3978305768897805,0.07197656678222675,0.1182117261534088
1999,0.4477950058597384,0.23278232617818384,0.07547427625922865,0.26149950147815737,0.17385810498543175,-0.014861299052974286
2000,-0.4085145118392536,-0.022254779363658495,0.17004990109868978,-0.25131999006349504,-0.015570369165659792,0.13369153477034224
2001,-0.14673335498681495,0.015211548160251276,0.11813895512412564,-0.18833199758366848,-0.11928545715533001,-0.06000678852895214
2002,-0.3535537782395365,-0.2186863988772455,-0.11342885104656708,-0.2602382695093768,-0.2039122026090684,-0.2175663887512327
2003,0.5263024823843474,0.466395673297618,0.5420991171912191,0.21940032026727985,0.33411848661278354,0.3141397551584597
2004,0.11482706481675709,0.18196819158401434,0.18458730551373836,0.03999711593806565,0.10453600236467975,0.15236541012360116
2005,0.0031484107041015452,0.0661376327172356,0.07024924923611242,0.013364999462669891,0.04420807764655943,0.0985634908641746
2006,0.05714160216781283,0.15524593084688787,0.18272720376219942,0.06569169475589964,0.13263805990619892,0.18699163593402734
2007,0.025076478303679206,-0.01931284603987682,-0.08668709276741915,0.11125021940781576,0.05661039461122863,-0.05025305985166717
2008,-0.46996834529718323,-0.38826630364502746,-0.34488368780749956,-0.35296045638538065,-0.36258494624006066,-0.4560676678319894
2009,0.3981531841370243,0.3669603384556199,0.35427658321396316,0.3045141341114206,0.25653932294656956,0.2366006456947478
2010,0.30358259898412365,0.3196380239494685,0.2944188629236124,0.13817851103150347,0.1674343085405463,0.12438585073053687
2011,-0.09848959741825469,-0.0987982066255908,-0.10429940020632678,0.004486122913869739,-0.0023233677878908843,-0.10103742889870382
2012,0.10371937546070908,0.13478890329875193,0.16536369334032597,0.12626497356301325,0.10606371276179916,0.2090543552807087
2013,0.3554245507927052,0.3264146096009728,0.32725280920000666,0.32500647212936973,0.26667914621387423,0.3317801926428674
2014,0.03516557025820388,0.028538312400787413,-0.007969722574127758,0.12767735457207463,0.11544899851437895,0.07646751891445502
2015,-0.06867917676714219,-0.05514655057900719,-0.12969756787129727,0.045442761441535806,-0.02088663523237444,-0.07673822982723022
2016,0.026864632064979466,0.16997183632124968,0.3130108880205156,0.04433741674490488,0.09395180704382056,0.1866530828356907
2017,0.2883251935341469,0.13239957701304816,0.06866527447062598,0.28431117111689175,0.18200402090896572,0.10872664509222152
2018,-0.12581628293467995,-0.12949103959199948,-0.17471258944129953,-0.008840376056341137,-0.07080920381067668,-0.15422493739784315
2019,0.27485804962668525,0.26224920904210736,0.1728967312975982,0.35460855102507316,0.24950545238670507,0.22192906036336524
2020,0.43755705181543036,0.24371159524090946,0.05591029443907791,0.4236472818115704,0.1488807167009969,-0.08821917613172159
2021,-0.16118065401574277,0.0510510463290097,0.2225500342970228,0.17321833809553566,0.14625747051649984,0.23176306239771827
2022,-0.34667271273417977,-0.27193816285596606,-0.129552915468226,-0.34441447756733423,-0.2088148235572863,-0.06635806593841154
2023,0.18438166204732753,0.15325654931319965,0.08977228977906893,0.401797154290354,0.15224762680359594,0.06274515722815477
2024,0.12956676000134393,0.0635323806785093,0.07465167758698787,0.2609905417062375,0.21436430069333112,0.13043004852629636
2025,0.019374852650290153,0.11295612928378973,0.15883880403280415,0.11825425740503248,0.18376881178290927,0.22797949676623963
