Year,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1927,0.16044100248832738,0.41302634750162337,0.3443539983143964,0.15945975745846308,0.3089551563822317,0.4700627449840784
1928,0.25107654459425954,0.4195824720425205,0.4451881296919704,0.25806070840655315,0.32669111497903836,0.6010727900439288
1929,-0.4852934786067531,-0.35526756678649485,-0.37293514193570365,-0.3822905062360199,-0.03948907660632206,-0.10001440866690314
1930,-0.4721161984087018,-0.3601054813345753,-0.2514667330606265,-0.450365119713381,-0.2865422199827454,-0.15276260956129328
1931,-0.5467221758255821,-0.42221188729152204,-0.29942107490465686,-0.5483908413099864,-0.44445468821082557,-0.277679996316199
1932,0.2606245024364242,0.16722131854928035,-0.04327434384824602,0.06316716950712142,0.04207998475902652,-0.08907556514740289
1933,1.144490727448638,1.3677548239616644,1.164961405707873,0.4533630708618843,0.5745087262472754,0.7878379944614373
1934,0.11940425336050753,0.12284956715993012,0.38254658055042245,-0.11645458032982547,-0.03958894923000078,-0.015187781469758299
1935,0.4787760200133422,0.5315396010374245,0.7815480731886322,0.4308585777548981,0.40137294039044735,0.5451614076881326
1936,0.5302928902009474,0.5372690435029266,0.5114102132103702,0.19353287220125015,0.31058993769799415,0.3275586695772841
1937,-0.5142548365269928,-0.4668991844768027,-0.5382521194306611,-0.3281537930768984,-0.3717148452872687,-0.3811566933367819
1938,0.3975255962611757,0.48617735028979303,0.3928808493953624,0.32279112893109674,0.4128133105373153,0.25922107114244186
1939,0.044335943507337605,-0.0038209247636905586,0.04119807303084633,0.008227710972119162,0.04647463133234009,0.0038043784601295982
1940,-0.12885836688675978,-0.07529651892411782,0.02890494127612886,-0.07943392656762782,-0.05465882712475301,-0.11923055111363612
1941,-0.18715111322728528,-0.21474696843922458,-0.12910641338640527,-0.25668496751868963,-0.19590972961364883,-0.12648168386317782
1942,0.2651458853767421,0.20021606185999974,0.13154159261346665,0.1716771141847726,0.04311785587770678,0.002934171389636253
1943,0.5623863204177042,0.5372941137329801,0.69648309563708,0.1871044143193903,0.23881919352850578,0.3345590414780186
1944,0.40743341564348134,0.3848592299814899,0.46705649818398065,0.15742303976310024,0.1914029480674846,0.2876764372079985
1945,0.6273133009002936,0.6448326274945215,0.6548166930155259,0.29012523135940116,0.36286314900573835,0.5771289316955439
1946,-0.2967029698783591,-0.21425050265650614,-0.23299962911785632,-0.23828878172498313,-0.17240822938644307,-0.20331893572459847
1947,-0.18869865668635122,-0.0865750245525998,0.013262372685124202,-0.11439086877453786,-0.01617611163735644,-0.04250943494782433
1948,-0.162559098541731,-0.06119384067261702,-0.015457290548850255,-0.05472181815788746,-0.021394024912056886,0.024029439749681414
