Year,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
1927,,0.3728477808777686,0.36893456787595724,0.3465117825496624,0.34398698241374137,0.38373889991888266,0.3549579299208585,0.3395885014767672,0.34995886477229066,0.3269656409708124,0.347666339788536,0.39197677067805503,0.3791634084761033,0.19508979822543382,0.4732762184206927,0.3817692020501413,0.3167335343764699,0.3252206880087476,0.35690948988750537
1928,,0.4378747950986417,0.434182970179978,0.39500991843107225,0.5036950996031984,0.36420431638281947,0.4565182440603812,0.41815801453942214,0.3939941453387301,0.6401843075900489,0.45763600075691446,0.3833305339844659,0.3444235050752056,0.40645428831831265,0.49178605563976685,0.4365760863322783,0.4065719864379682,0.3921803665490733,0.3943537946789757
1929,,-0.4690775559310122,-0.27985827061989377,-0.10539571504348655,-0.47582684681136367,-0.37691452895902,-0.30059575284746287,-0.2402000288041981,-0.09105152544162198,-0.46073781593214125,-0.4807937990663341,-0.46857367216289414,-0.31808310513110616,-0.3358518266370045,-0.27631446340666765,-0.24757898586419647,-0.2375357991045599,-0.08099494216567271,-0.09359324162685745
1930,,-0.4130345289957169,-0.32228429177686635,-0.21810052505752564,-0.4577187384869351,-0.3753054358471669,-0.2837271186494783,-0.3241296844792888,-0.20975009686528168,-0.44454851412713425,-0.4621050254909651,-0.3818716459649406,-0.37182874122348175,-0.272061701591385,-0.29150337656373804,-0.3504466167577167,-0.3098655971987375,-0.32704639668415003,-0.18100313756690678
1931,,-0.4324927306206132,-0.40731076459559334,-0.37016890728050167,-0.46816382058707684,-0.40201110767610626,-0.4313022180327011,-0.3996438557526627,-0.367591719944964,-0.37301869966154155,-0.49936237043761933,-0.40791068375483175,-0.3990363403501429,-0.42674118186546073,-0.4343520183773051,-0.3884215341058668,-0.40582267304565434,-0.4522923062317121,-0.3511344233452782
1932,,0.1272027351918259,0.015337988340313302,0.009900805576859018,0.16903450025633893,0.10753504637941069,0.03366514727016545,0.09859841391799384,0.00012003154393691595,0.4258400792214172,0.08671533603894388,0.10220999784876894,0.10601322495569554,-0.024379402365372616,0.07082575141502678,-0.024979990463617874,0.16796199784433452,0.07198140930114194,-0.011643435520833245
1933,,1.4440684461800521,1.02356979056799,0.49267685081396606,1.654141049707401,1.189422193356283,1.0018388337401225,0.9484432922101254,0.4641314459797876,1.4098721346428422,1.762189915990295,1.303830502651378,1.1179607550524864,1.0249676701127024,0.9853947919042023,1.0003339703872425,0.9248889552291384,0.6811466977920899,0.4259499186526112
1934,,0.21169040967765662,0.09379781744595062,-0.007030758267281612,0.2633678651556379,0.1293846708806221,0.13852833951545018,0.07187030051983867,-0.014372326407110836,0.19450731550545175,0.29192813331762557,0.1687797139513203,0.10475580348852209,0.12557730171426673,0.14648831282489372,0.05339862082554303,0.08162079962750846,-0.005861025546670784,-0.016065756321059443
1935,,0.6486019747789165,0.488250203489363,0.41917847590312407,0.6737705137378236,0.6603340026536073,0.5722655941793322,0.3698817492714266,0.42376751284181324,0.5269018541004358,0.7232974170116553,0.6341035438608267,0.6769648542897055,0.5493820772552436,0.5854761276635392,0.3731835822944829,0.3678601462214519,0.48014744488275696,0.4122584899184427
1936,,0.5450819878468991,0.45490129437093696,0.2792420186228952,0.7242659640115436,0.5275883130448269,0.5094954778286847,0.3137440545279455,0.27852104661929356,0.9224880682211716,0.6523857084961264,0.42209348199682006,0.5976019007374955,0.4952932986512011,0.5158795622976025,0.3595993781236049,0.2860908944003322,0.28562568126622545,0.2772115764817793
1937,,-0.5521899548172604,-0.47742872320907215,-0.34954476535909584,-0.5490299304737676,-0.5298508335239254,-0.48069154578629225,-0.41974100267009506,-0.3459100892407503,-0.5522240286791051,-0.5476699316955853,-0.5536450748877021,-0.5161124577940179,-0.48204047041394493,-0.47993359283533044,-0.4610441249599193,-0.39489590368217553,-0.3940593067949959,-0.3357042013715722
1938,,0.3294304966627506,0.4222545112417404,0.3098538653827536,0.2009879992298036,0.4174756624943208,0.459692854465815,0.41503611023644327,0.3014422463855815,0.08185710483611519,0.24357451251564588,0.42928005227773514,0.4102925254436134,0.4488363202098298,0.4681679418529763,0.3843879873667564,0.4320063481230776,0.3715066632473434,0.28772902703689196
1939,,-0.06270373984098288,-0.002357957008542799,0.029124965202477204,-0.047710558228290734,-0.024069301880840444,0.03701737483994494,-0.042388816579934874,0.03406377710227715,-0.04861077598727437,-0.04902788448283002,-0.07383968824897547,0.007663696133948239,0.05443758628256523,0.02470848677152837,-0.04896324347192671,-0.0391286452903854,-0.06083996230246291,0.053461478187236455
1940,,-0.08294498014289786,-0.04445471499949005,-0.08123894371872609,-0.15377371482670255,-0.05731596243145731,-0.009383770949918602,-0.08190169227642241,-0.08121604385964332,-0.33353979591283445,-0.0843801067127461,-0.03309792537786804,-0.07173857905654557,-0.034337872174219575,0.00880824770257016,-0.07625432131901455,-0.08505120764751817,-0.09861699508645805,-0.07818638206175599
1941,,-0.1657264508239663,-0.17813329793499244,-0.18706760642630083,-0.20053621266274135,-0.1839108429167443,-0.18214456922874878,-0.15505817798192068,-0.1895667939272071,-0.1515952293985725,-0.21431130240587715,-0.141810744011183,-0.21016198016061638,-0.20790553817212076,-0.16371057272391276,-0.16349690327571798,-0.15004646058577498,-0.17048581238886784,-0.19306558710403288
1942,,0.22434920796788038,0.12794836653695962,0.06067945422516696,0.270511737769372,0.19229322006561111,0.1241254119504589,0.10505868773457938,0.05783198682886059,0.4952571607005769,0.20093890925195224,0.19539488852504805,0.19032986642842764,0.1338955373534414,0.11682792820911336,0.11257823278630075,0.10095508283989285,0.13308273994112607,0.0447262947362117
1943,,0.837114306141773,0.4443034691134302,0.2182572618809533,1.0488899204290658,0.7192542059258553,0.4418105626723825,0.30230174410755617,0.21424628584400018,1.3605581614188589,0.9345172366079539,0.6858706689963963,0.7407090217981818,0.4217712632915487,0.456995766235744,0.35141246235790713,0.2736902089841,0.3178137576456934,0.1949732763666545
1944,,0.48539879598714286,0.33691365268879037,0.16360332024195934,0.583107129715053,0.3578717341539921,0.34972269195601724,0.2754384788004627,0.15678004435338178,0.6730164938415848,0.5471475300261996,0.3978934160031147,0.3334747628354846,0.381173632587144,0.3273713778211327,0.3228792543633958,0.2470285529181142,0.23081165532387415,0.14197084122152548
1945,,0.7121040782980352,0.5854570966988246,0.31731350130139857,0.7622598356770593,0.6584840675158012,0.5185006348225021,0.5546859333345948,0.3007987416838849,0.9011763531558097,0.6982893840206579,0.6621343359908824,0.6567871389460269,0.5204061102557074,0.5175494175504847,0.6427757563099585,0.49916325431108777,0.42745417331343893,0.27379530208515046
1946,,-0.27165997461533276,-0.21773765007652646,-0.2025500552296584,-0.262236226669191,-0.2422057015957918,-0.22172434762606807,-0.20810586256675312,-0.20239329118965532,-0.26978992134322166,-0.258452532083168,-0.282049517588025,-0.2119460051445159,-0.21563670727664308,-0.2265647960583722,-0.21497325293067637,-0.20377573510153846,-0.2234618805861217,-0.19731694988106951
1947,,-0.08574167196396087,-0.0750692979056804,-0.043885351669865846,-0.09318289626373433,-0.08438841647795392,-0.07689885705132238,-0.08750857812330048,-0.038385909215281844,-0.09707170540453935,-0.09119539415546563,-0.07778187603207798,-0.08902158731838272,-0.10835197988397205,-0.05310832908021268,-0.06736200670486725,-0.10063645399780308,-0.07420133889102021,-0.02980318958412076
1948,,-0.08239321750207695,-0.05684058095333955,-0.0018385055610654621,-0.08691897293833273,-0.06828915915138178,-0.06539324285810366,-0.02292236150545446,-0.0012679702030023998,-0.028948326835016358,-0.1155893338295566,-0.07810840660958873,-0.06141641108962703,-0.09095305345563942,-0.04680973400688482,-0.045452482179818454,-0.008350147662630869,-0.01188445147051398,0.0008035067464322587
1949,,0.23223149432327617,0.24265169047111934,0.22528990943687432,0.23819428539201692,0.22363641634326248,0.24570611520287633,0.25734001164524356,0.2217228246996923,0.3029385135718885,0.20668410457487774,0.22597257899273226,0.221584314616581,0.29125533270168225,0.21393219418160903,0.2465387503492802,0.263988099589598,0.26895481318711423,0.21203180132503663
1950,,0.3489890823425028,0.27958056076708604,0.21979111111664618,0.38204007654826166,0.3405613445504241,0.2827495378493372,0.2275229647854824,0.22023303408252537,0.44268628724786185,0.3511163353173603,0.3165588467104121,0.357131479182065,0.25865340237053114,0.29912790035654613,0.250304119318278,0.21317825201086515,0.2255201822091195,0.21914271247988304
1951,,0.03428628506463194,0.08971644090158248,0.14832527567109577,0.003836082132366636,0.07489106766633236,0.07191558178963264,0.12928695613924446,0.149110753328203,-0.020128314836064698,0.01710618267703934,0.06555395900484906,0.08129495011637178,0.1075183053497748,0.04847689380092146,0.11314965021324652,0.14008022299314593,0.1441289838721984,0.1501087975484996
1952,,0.0679254702303389,0.1033296913766264,0.13152122912993724,0.04234701427188958,0.08695746646396207,0.09930427482215043,0.11427816010700864,0.13316683734239287,0.0026975653157128576,0.0633631666601453,0.09295294692753542,0.08308687726296138,0.10067128809219006,0.09846479160025323,0.1144151188576239,0.11428355963808623,0.12186407550547518,0.13537631199448708
1953,,-0.06604851159175562,-0.022835183206526777,0.0037085914342753767,-0.06486366963608736,-0.04683664712834534,-0.028162843773669843,-0.00957076808131374,0.004584186619160713,-0.06673596045453367,-0.0641164095366954,-0.06712585395170756,-0.03314543597683817,-0.019487716409443023,-0.03395931422185072,-0.013383376288139681,-0.007717935201803194,0.01244027670647152,0.0028742106641244103
1954,,0.6140680131537417,0.5620859553101965,0.5078244069430722,0.6490106140890204,0.5936293292108226,0.5995859839677595,0.5548374734096748,0.5010341944161336,0.6619712911877833,0.643155824457794,0.5816114870629383,0.6019643987710763,0.6095723113882561,0.5927096448933447,0.5089564850752712,0.5825749073013142,0.5142122141051495,0.49827574667064845
1955,,0.2214975780905748,0.19876370622436035,0.25753743995285294,0.23516877403301617,0.16716212963459176,0.21922110078243962,0.18022976031762283,0.26601400500013894,0.2625088159169182,0.22240615086440862,0.20830601984851316,0.1410690526237559,0.21514866311312209,0.22234920770000666,0.1935175277925123,0.17237974964741554,0.18893887029773326,0.2824696526820514
1956,,0.03622159221635579,0.05593591571589851,0.05291301429517903,0.02362936279517802,0.05413816189391896,0.05427098778475514,0.04783276449477758,0.054051792668063925,-0.03764643782213983,0.052169283197143645,0.048045810751050855,0.058455653335817814,0.029718487017498907,0.07117369394893158,0.057048258591223755,0.04158965890031552,0.0774904901285145,0.04947137997413442
1957,,-0.16872371667792485,-0.1589954506217538,-0.12134312954876747,-0.16950847576603234,-0.17044886808775417,-0.17239757530638333,-0.15090857754857667,-0.11834254428808266,-0.17566346311946468,-0.16638462276057253,-0.16778687694724004,-0.17217736459776145,-0.20331796691719717,-0.15164389001185907,-0.14017120719935006,-0.15740895609147731,-0.12096290657372133,-0.11780147415872377
1958,,0.6260496300232055,0.564423767165593,0.4051806002661231,0.623552086367221,0.6411271625061516,0.5662514847927098,0.5192277299720791,0.39694847565402425,0.6588056315444786,0.607089448573676,0.6287966001954874,0.6492930624282696,0.5867258406641995,0.5533861751004912,0.5383244726114453,0.5072354309051341,0.4647581258962732,0.38370318078835464
