Year,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1927,0.5403404482906842,0.317802972821273,0.2801670717510465,0.3490088211319222,0.4061175666489367,0.4906244455486597,0.3823594860604913,0.38014498580202516,0.3121427957890004,0.4924504147298394,0.263253468602457,0.2942500222798614,0.3849770320455097,0.27934448714400495,0.6014960946205796,0.4227588289665696,0.4386589291065395,0.24357157365083149,0.2754571602606022,0.42076265697200155,0.47497094824164177,0.3087096174585431,0.23972024330113184,0.27780654810863714,0.3073050498997518
1928,0.1163777201040892,0.30697491891997397,0.44757477390477285,0.3594059267939147,0.7605737199557636,0.1494200732963622,0.4724962618620243,0.2699795838223835,0.38687512205854735,0.5368491883720392,0.5092631683783224,0.6133777802102158,0.5917061394268055,0.27693283184596185,0.2177306694199681,0.5929365403072802,0.4292619895404721,0.259827850973015,0.39534858139600493,0.2237595755547488,0.4977617485219541,0.3767886344602649,0.3707676310717043,0.1818629139384662,0.39967121341902945
1929,-0.5159843265588975,-0.5910750097719155,-0.5653403662330431,-0.47960940073094804,-0.4492898224507451,-0.5124691600479604,-0.4012631612136853,-0.35491511212006444,-0.37340569315438554,-0.3064404916851392,-0.434430143310106,-0.29395564607314173,-0.15569095433479185,-0.23739182267438286,-0.2184931338006948,-0.30352888480372675,-0.3533181529781213,-0.1250056060222846,-0.1285995181456041,-0.05109806218421564,-0.19529004567897212,-0.019002214750591717,0.014380144295837116,0.03844803688884091,0.00983311358101191
1930,-0.4930493054008268,-0.6860028084229106,-0.43259855101661315,-0.4239291018952558,-0.4517105304851703,-0.4732528260034671,-0.2789510979944452,-0.2920979529636373,-0.41880713048429474,-0.4126132288083961,-0.22356676758112404,-0.2402285533765799,-0.26898960109666126,-0.2710433794069589,-0.47885382893904693,-0.3147098368333513,-0.27001177888903727,-0.34818003132485886,-0.3415354537329782,-0.4375818453842937,-0.19395869292120416,-0.2054849766476987,-0.20005302073212938,-0.35192172388194265,-0.7181449597935632
1931,-0.7764673399787929,-0.4025541899409186,-0.3779894451812531,-0.44458358855824853,-0.4636493402980789,-0.2910789360381564,-0.4169063922990043,-0.34867283003924954,-0.41217597440645515,-0.46277427845990193,-0.32633319554796847,-0.43333605989715707,-0.4086948383639699,-0.48090631102566317,-0.46804528728715555,-0.3364164551276254,-0.317946491671382,-0.44475762893799753,-0.5263074636357363,-0.4821914646116917,-0.2764099355185876,-0.39383034833362385,-0.6386292787873055,-0.6098120714159043,-0.35069429561061516
1932,0.06058796090854801,-0.4232992524255118,0.27079890847668,0.2099557880930949,0.24719793727719708,-0.19898995912502182,-0.17549108676308744,-0.01884124737266868,0.26852142150487723,0.362289938091817,-0.03484043181736618,0.09884137694269035,-0.0058768374099624765,-0.07180401428773886,-0.0647600481072017,0.10156964797823287,0.03937899043967685,-0.07147833184411956,0.3727142844246356,0.1298631989381147,-0.01785340426007931,0.11407972176839998,-0.06462798604200704,-0.25521101917435673,1.448140110071984
1933,0.029568371558388984,2.190193092265212,1.2062142088952639,1.6686676129212068,1.7304244048309925,1.2884257330667999,1.1737433585638368,1.301626850114379,1.4589703349649814,0.9927084273215421,1.1455014329304158,0.9908463706455624,0.9623920180127659,1.0462220670330944,1.1403916237064133,0.6966501198987489,1.1551574346334625,0.9678370389218207,1.0107520773580423,1.6350879485171448,0.34277706331684477,0.5654565358999182,0.7428763484849736,0.9906192476361764,0.43885974379554704
1934,0.3146665761644982,0.14462862855310998,0.28026944546598576,0.3167816689646934,0.11747851771465134,0.43586468830512404,0.29389968453456894,0.09895762574648304,0.07346373432354314,0.04486311179219249,0.4696707421569901,0.2402080993637694,0.20951885561051253,0.18600101948508385,-0.20543911822716,0.12015623523678798,0.22000453236983986,0.13195931248675108,-0.03461704342486893,-0.3413907179628597,0.07091660021947699,-0.029643961341733083,-0.11966280040170985,-0.22338695413205578,-0.27727333531742904
1935,0.5189380546486506,-0.055840259007064685,0.8499281581667184,0.8817626477261165,0.6631277229326351,0.5416644504333696,0.7502894580380455,0.8277992562731926,0.6566027485756538,0.4441165515847245,0.47372566792179427,0.48766541754919523,0.7154767861157927,0.4418913201487258,0.5025057615874107,0.3617269854380878,0.3939438781781137,0.36647619051890357,0.43522476129355603,0.10359287695755603,0.4253634448379142,0.42823865637501335,0.4368280915431171,0.3316263547586873,0.5956422146953106
1936,0.2355043487596069,0.22451660427120435,0.7776158092785976,0.8073184120406858,0.6976893295016191,0.2907897563193358,0.5763610075279786,0.3761701237607107,0.5541222814558338,0.6630192956170795,0.3068098387259566,0.3713419443609398,0.5707596105322645,0.628927371739334,0.6743055614743518,0.20883323396810494,0.1854675178229359,0.45467052463281443,0.6467676262009279,0.36052384126495096,0.24892090499645603,0.21342618846373318,0.3179088505295762,0.52512732787858,0.32261714029875677
