Year,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
1964,0.18255486745180027,0.14879320924156114,0.19468121571763808,0.2104249545170469,0.14652846761221117,0.14697813116402303
1965,0.3968584516966718,0.354089293375663,0.348665241947707,0.14573222719087942,0.038475855472132725,0.1769618608086343
1966,-0.1102772063728581,-0.09306811226336986,-0.09449702500409263,-0.09649766050763053,-0.13654140762919886,-0.11995662964175036
1967,0.7338840250285592,0.6041880231714907,0.7489834317908068,0.129418031794722,0.1539298622014469,0.29021471656143927
1968,0.42617659451550916,0.2424438925830803,0.2999349328925547,0.13909832734028882,0.07151672475487758,-0.0001914822141225736
1969,-0.31108136526415175,-0.2733965789287448,-0.25591722012982154,-0.2336199426447091,-0.15596689033450517,-0.06858611550134674
1970,-0.1973418616395477,-0.11416519405715941,-0.15962941346668658,0.018524895258778207,0.0058712426004334795,-0.08184669885298657
1971,0.11724303077154397,0.18632670612146218,0.23706448865392038,0.08455909518800309,0.0863443222950937,0.16551760752446953
1972,0.011769653206628705,0.013571507144350958,0.008396668058233914,0.05207542897141204,0.11032977247958753,0.2144459640328591
1973,-0.3491270317755847,-0.38849687023338786,-0.45836768596578803,-0.19420789433996155,-0.21031453786480292,-0.24905101565213084
1974,-0.3166763435263634,-0.3301914720465676,-0.3718372302426365,-0.3663437916420341,-0.30075488651521054,-0.3892593398779921
1975,0.477432146631817,0.4635997764067039,0.5199774857406958,0.3093513934342931,0.267873649587109,0.2840357703794998
1976,0.45362746483475314,0.40751366921549037,0.38317249578865775,0.22347040588553857,0.20119404709826338,0.17273086608028065
1977,0.08973197701348812,0.13059892468452672,0.14190031152939775,-0.12376426180902378,-0.09994841809268573,-0.13444103614827707
1978,0.09094500112222215,0.09146598492074909,0.11926913639031422,-0.07037989742461714,-0.01548566844257604,-0.006891668310078258
1979,0.3163080700907295,0.20467510712624937,0.2673051231736818,0.07350005545622218,0.05894364524207152,0.05738363601907159
1980,0.18690802421069308,0.18511639948287462,0.28501071406416,0.09112160338276554,0.17692492405298932,0.22049530020332497
1981,-0.1315587942469808,-0.010375038890596322,-0.04599226085000474,-0.05909318158351162,-0.10043441482716631,-0.1662666773152699
1982,0.2146365271738162,0.24311866928194426,0.2448136267245471,0.2741311655300216,0.1254973234657355,0.16573770750140526
1983,0.22740279281965758,0.3286584412289284,0.2601550515491575,0.18834744872650533,0.15763755888676712,0.168436572858778
1984,-0.18576549905013118,-0.040371480476322,-0.016912881638076915,-0.08908677165054801,0.046524125281176554,0.034620599400445595
1985,0.15299169979310046,0.2720550784553051,0.36074045135474964,0.25594434322193726,0.2850990515397205,0.27412892641089504
1986,-0.02909237736277781,0.11025525929460445,0.10086783333496241,0.1560571256788732,0.1894038733540575,0.15824564825826748
1987,-0.1741697724406568,-0.0828360351591263,-0.10858081485787785,-0.03564919709669867,-0.03420091855765295,0.021570561681668154
1988,0.14539740681149937,0.22295805514905775,0.1712806322448246,0.09658231372314519,0.1251502278286709,0.12948549165636503
1989,0.09607546100430708,0.15135079352763214,0.15194362779798354,0.2567889594892607,0.23736538212710667,0.25566863691462216
1990,-0.28663724760649145,-0.1872828996782635,-0.2337340255332948,-0.16505563648692467,-0.09916043817820286,-0.07207588230842044
1991,0.42051622088358886,0.4057085830123355,0.5127016166940295,0.24265278179414573,0.19656117793407968,0.38883939182698857
1992,0.06662270630717959,0.1741492087421348,0.2032189295689637,0.05064010643783923,0.058857618701622094,0.05674035577872494
1993,0.12888340401641818,0.1578504027573926,0.167956974448906,0.19212994737599676,0.11314918060159562,0.013727295239252424
1994,-0.12078669799817376,-0.020285557855773795,-0.031961379908376664,-0.03652054032832497,-0.014460211598967154,-0.012437647539997654
1995,0.3073683433360135,0.22279616649527978,0.2725155573620739,0.3170996945267224,0.2794717115096528,0.38808801439269347
1996,0.06502050719926533,0.1879038666594648,0.20038362833201018,0.0647505353186375,0.15945420033684976,0.22276844870579593
1997,0.14747689679247777,0.2997073541300288,0.2550147887871157,0.2524552300380529,0.28706298977689193,0.32262701783363257
1998,-0.04396316308738191,-0.054910248632435654,-0.019008230211948196,0.2633780390869602,0.18122364450584305,0.2979868575679694
1999,0.45109579274132305,0.09389544496635605,0.13850505138605596,0.3921169164272049,0.1854427643481238,0.14113338967191758
2000,-0.19326685643462815,0.12994000744449963,0.030389435420032695,-0.3163706411627568,-0.037721681870598656,-0.085016996702726
2001,0.00740107220254993,0.17322329298017736,0.18640945344185944,-0.26093386853484546,-0.13789600136549063,-0.07958642853167819
2002,-0.3329877999522195,-0.0685362276425795,-0.08414617656089884,-0.3684541765127013,-0.21188110996117349,-0.20652489616837943
2003,0.6652217455506928,0.39912543726599736,0.45329108432060305,0.3936849910360509,0.29672522817201186,0.202541816848264
2004,0.07741509468463925,0.19463802585633405,0.24333622716936065,0.08234067114868693,0.0666139563848589,0.07948264921570614
2005,-0.006896979058613972,0.046077667420166835,0.04940904056537798,0.03326443492409625,0.04666947046197589,0.005858389199205671
2006,0.10987577841949459,0.17080673145387082,0.1573264127626992,0.10765318605267371,0.1291985915875804,0.12671072197507693
2007,-0.06773699345408268,-0.05084532227833105,-0.06808420564303219,-0.00771522312795192,-0.0176721457625324,0.07927623015421492
