Year,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
1964,0.21512269352805724,0.18656638194666164,0.10505604202790297,0.1622695249831212,0.15528519837600374,0.14084343861952164
1965,0.42151565318897544,0.3434982565709168,0.40558702495214005,0.10249197635805651,0.07322766564044247,0.19390993168588744
1966,-0.09528458393089534,-0.12833272445150823,-0.07827713665808067,-0.12053056294092024,-0.12800888516537234,-0.12251887113520554
1967,0.6542889918718264,0.6835775031267746,0.7354943495450357,0.13181773936266517,0.16362034693866945,0.3580996976611148
1968,0.43900081445502304,0.3191410489592852,0.23008288655571785,0.11495948555105873,0.06876860432250287,0.0016052846799563536
1969,-0.2975099487555468,-0.23999134033463498,-0.3106476103582332,-0.20133994223258966,-0.12109609589656811,-0.09810426764391211
1970,-0.03878095164816486,-0.09728061539821964,-0.27133023501339715,0.06722367228023307,-0.016056269594617145,-0.15283452256420416
1971,0.15985782387054281,0.1824235840066848,0.17112148356295398,0.09315336471478197,0.09895881737356227,0.20106481101553175
1972,0.040374409877603545,0.030952316158515902,-0.03211751967374854,0.044363632142519815,0.1455027253347405,0.1785554275321617
1973,-0.3702646848973755,-0.37722407044374306,-0.4485841907530057,-0.2277122111943527,-0.2146884930176004,-0.2750222588797139
1974,-0.2259052652037642,-0.29439642552441936,-0.43938886114346554,-0.223054109844816,-0.3520997102528378,-0.41644575067532197
1975,0.46407866659680397,0.48458650895686795,0.5147391352648543,0.3348633360578859,0.29639622378758745,0.27438052538334556
1976,0.43672192182632696,0.4368473500132908,0.38187004264716684,0.25148517105917767,0.2028136518757908,0.16261630165318053
1977,0.10873977582521133,0.12524940400715368,0.12927027839173255,-0.11471101633583614,-0.11127988058954741,-0.13153074441002066
1978,0.1198818927847114,0.07443750301739316,0.1016025181087894,0.019698433007297567,-0.02281027886454079,-0.03868915760932268
1979,0.26889364309069763,0.18890398574461575,0.3002839258596184,0.12534611939523943,0.02259399330829437,0.11520462558742062
1980,0.1446957722758233,0.17205047720213407,0.29228589041019615,0.18448666206287423,0.1402373874064453,0.23642055638766668
1981,-0.03316097292842268,0.042240201259619914,-0.1262045323934654,-0.08651881386263949,-0.09491670234652849,-0.1885093432840811
1982,0.3017164688908167,0.3196928423303178,0.14804523520963264,0.2517862811888034,0.21289359599357582,0.06736776717600468
1983,0.38221624171835766,0.3323226821284695,0.2028367911367397,0.2681416043902949,0.16461644779792106,0.13012808372852502
1984,-0.11094288379329509,0.02780327303935093,-0.1139126959397243,0.025169728316301487,0.05183924042855792,-0.038329388363692374
1985,0.18491282094598493,0.3345504096828349,0.2571604651324497,0.27503773473421145,0.28208156885702995,0.2638697864536994
1986,0.0451085902599051,0.1337010716879472,0.028179931654177093,0.24529825168186514,0.221255504083274,0.05483883998578176
1987,-0.0810844853186492,-0.077284695662452,-0.18129609561618243,0.012304841933441502,-0.009577791090231713,-0.01797877222915023
1988,0.2302048785049,0.2184649166795949,0.10946502012883852,0.160735128246132,0.11891278980870323,0.10452886557482399
1989,0.12318515053595802,0.1326901260498099,0.12030036847224368,0.3513218752710776,0.21998781932110134,0.215683534995341
1990,-0.25944163679564314,-0.20031680657563367,-0.26325168347268635,-0.10107060309442284,-0.08320602002931843,-0.11443684335242865
1991,0.4233432977639109,0.35083438742049533,0.4998418007946468,0.21698353731805287,0.22085201413622646,0.43533658253495533
1992,0.1911118349591554,0.21332961783894966,0.06918866804800317,0.0841337426178812,0.045870965674257524,0.06792067228871801
1993,0.21721617415023942,0.159006739095777,0.11804015567304815,0.1535458310137745,0.09383244850042649,0.01775915814635165
1994,-0.014391134463024535,-0.03222658552225455,-0.08574312310216392,-0.016200766198146366,-0.017471111688919017,-0.020020502461531087
1995,0.2917764196250041,0.22882457821141178,0.26139248545394533,0.3565279737758187,0.3418231643976948,0.3376834957517054
1996,0.1469405986262795,0.1672770207882206,0.09789986862657574,0.1756143871396234,0.17063523507492295,0.20910209695767534
1997,0.24575199836801365,0.3192150124615427,0.14897776685373976,0.2946727163989411,0.318318130934621,0.28573199963570795
1998,-0.007984875398079683,-0.021256799681341643,-0.05749412856953817,0.2066705264589228,0.23196376324952306,0.3355364596312258
1999,0.42250700093538285,0.15067476290447224,0.2766585698415063,0.031744106392919136,0.1777633653146471,0.30971633224946826
2000,0.01502779962454004,0.10594546598461774,-0.24420255198587149,0.04028095677787702,0.033862546222242385,-0.28102232041316744
2001,0.10234224280247539,0.19903197157930896,0.03495368907310925,-0.028706083568368235,-0.06261483427470071,-0.22242528349020996
2002,-0.16891463571950938,-0.0699670836386801,-0.3038704522982705,-0.146113779220567,-0.18825383846559574,-0.28870678153242946
2003,0.6733656715993603,0.4669219260057156,0.47897716453904216,0.36546088443368063,0.24407245682574064,0.2537404338322944
2004,0.09013832936260635,0.16988390830756472,0.17750286554737849,0.04231893407870002,0.07104334213334473,0.09802568485369068
2005,0.0033974885674696864,0.03357690759049636,0.02556203138271762,-0.010391252735015177,0.015003682360959614,0.06041380505157723
2006,0.171457667924926,0.1587489390261725,0.11324748493706194,0.17340477336673032,0.14270779052700777,0.06538037114555784
2007,-0.09402554670395313,-0.08081558977300307,-0.024643459332248985,-0.011966403900382283,0.024327351862791557,0.060018879557535376
2008,-0.36778772772501345,-0.3016688247787296,-0.3896398410796328,-0.3543440186933067,-0.3450716872976374,-0.3946013681973659
2009,0.4242369646246431,0.24765886937249082,0.306594955150731,0.2239718908106001,0.15947840364766508,0.3663462522362071
2010,0.34255519959225644,0.28254493370647826,0.19785760355129223,0.14329233960220056,0.19016640489506553,0.09257739714695767
2011,-0.10281266620015561,-0.05180994593961685,-0.09809440696390814,-0.027114978349079166,-0.007582709805839638,-0.01399392519419651
2012,0.20443429941036695,0.1604656414870147,0.11688526342634864,0.21316769841645145,0.12649211695675833,0.12275387111430991
2013,0.44156926920866035,0.396985446994371,0.41457554251245976,0.3306562294437523,0.3084589241325162,0.33202022722097735
2014,0.024592955880935685,0.05543028961779961,0.029896780369500053,0.10526045603571932,0.1150769397685143,0.13215522242400435
2015,-0.1395397774891537,-0.040813038761687404,-0.036045230615320834,-0.010282130788928368,-0.02688997051211761,0.057685259171186276
2016,0.20603855524734072,0.24904293742206685,0.1463410448849387,0.1438654603502989,0.129131148005855,0.017215524072020205
2017,0.08880219503543718,0.10227696344146886,0.1837608980122165,0.1513854630711653,0.17165235022280045,0.2756201230494566
2018,-0.10534028816620478,-0.10842791258605444,-0.14850557843365886,-0.06553188100509522,-0.10063890313453328,-0.026318846631010362
2019,0.17787590188995894,0.21652845061999182,0.22991426907346946,0.27608511272523617,0.2686264883484497,0.28452685197263605
2020,0.25306021287960645,0.06961878237734864,0.33887269617836036,0.21809908790851362,0.10719046114831099,0.3631707665252082
