date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199511,0.046900000000000004,0.0471,0.0611,0.0483,0.0415,0.0432
199512,0.055,0.0646,0.0825,0.0401,0.0444,0.0641
199601,0.0113,0.0297,0.0175,-0.0332,-0.0034000000000000002,0.0012
199602,-0.011399999999999999,-0.021400000000000002,-0.019299999999999998,-0.0154,-0.013000000000000001,-0.013500000000000002
199603,0.0308,0.0166,0.0174,0.0331,0.031,0.0273
199604,0.11230000000000001,0.1175,0.1157,0.0546,0.06480000000000001,0.0762
199605,-0.0368,-0.039599999999999996,-0.0301,-0.0431,-0.0535,-0.037200000000000004
199606,-0.0102,-0.0083,-0.0086,-0.0015,0.0042,0.0207
199607,-0.069,-0.057699999999999994,-0.049100000000000005,-0.048,-0.0432,-0.0473
199608,-0.0342,-0.0358,-0.0408,-0.039,-0.0508,-0.041100000000000005
199609,-0.0172,-0.013999999999999999,-0.0106,0.031400000000000004,0.0365,0.0334
199610,-0.0655,-0.0638,-0.0611,-0.071,-0.068,-0.0664
199611,-0.0406,-0.0378,-0.0319,0.0034999999999999996,0.0146,0.0222
199612,-0.11359999999999999,-0.11220000000000001,-0.1027,-0.0786,-0.061900000000000004,-0.049100000000000005
199701,-0.0917,-0.09609999999999999,-0.1048,-0.12710000000000002,-0.09369999999999999,-0.09230000000000001
199702,-0.023,0.0018,-0.0013,0.0345,0.0149,0.0029
199703,-0.0812,-0.07919999999999999,-0.0643,-0.0406,-0.028999999999999998,-0.0241
199704,-0.0194,-0.025699999999999997,-0.0358,0.0197,0.0235,0.0325
199705,0.1827,0.1723,0.1533,0.1595,0.11800000000000001,0.1013
199706,0.024900000000000002,0.023799999999999998,0.0333,0.0704,0.0554,0.048600000000000004
199707,-0.11109999999999999,-0.1079,-0.1153,-0.0147,-0.0425,-0.0557
199708,-0.1008,-0.1054,-0.10529999999999999,-0.094,-0.0965,-0.084
199709,-0.1381,-0.13570000000000002,-0.1321,0.0067,-0.0311,-0.0385
199710,0.0052,-0.0009,-0.010700000000000001,-0.0949,-0.0575,-0.0962
199711,-0.17559999999999998,-0.16879999999999998,-0.1788,-0.0455,-0.0872,-0.10640000000000001
199712,-0.14529999999999998,-0.1568,-0.1348,-0.051,-0.08779999999999999,-0.0973
199801,0.247,0.2427,0.2365,0.0795,0.11720000000000001,0.129
199802,0.057,0.0504,0.0623,0.0040999999999999995,0.0091,0.0189
199803,-0.0993,-0.0922,-0.0823,-0.0673,-0.0584,-0.059800000000000006
199804,-0.0425,-0.0336,-0.0559,-0.0115,-0.0134,-0.0348
199805,-0.0504,-0.036699999999999997,-0.0397,-0.050300000000000004,-0.0351,-0.0495
199806,0.0116,0.0084,0.0091,0.0038,0.0098,0.013000000000000001
199807,-0.0146,-0.0063,-0.0155,0.0005,-0.0276,-0.0315
199808,-0.0689,-0.06849999999999999,-0.0885,-0.09359999999999999,-0.0727,-0.1056
199809,-0.061399999999999996,-0.04650000000000001,-0.0653,-0.0274,-0.0217,-0.0716
199810,0.1548,0.10220000000000001,0.1387,0.1564,0.174,0.20550000000000002
199811,0.0379,0.053,0.0681,0.0381,0.0298,0.049800000000000004
199812,0.0436,0.0374,0.013500000000000002,0.030600000000000002,0.0401,0.0212
199901,0.0229,0.008199999999999999,-0.0011,0.0134,0.0017000000000000001,0.0291
199902,0.0591,-0.009300000000000001,-0.014199999999999999,-0.0158,-0.0384,-0.0339
199903,0.16649999999999998,0.1106,0.1506,0.136,0.1261,0.1839
199904,0.0891,0.08810000000000001,0.11560000000000001,0.0379,0.0338,0.0892
199905,-0.0489,-0.0535,-0.0567,-0.046900000000000004,-0.0434,-0.063
199906,0.2796,0.1693,0.1437,0.1155,0.0571,0.131
199907,0.0426,0.0682,0.0783,0.1193,0.09570000000000001,0.0944
199908,0.0708,0.0674,0.0278,0.037000000000000005,0.0003,0.08070000000000001
199909,0.0929,0.0403,0.0227,0.0949,0.0434,0.0873
199910,0.0431,0.008199999999999999,-0.0217,0.1085,0.0255,0.0592
199911,0.0294,-0.0129,-0.0392,0.166,0.0191,-0.050300000000000004
199912,-0.0318,-0.053399999999999996,-0.073,0.0462,0.11,-0.07719999999999999
200001,-0.0444,-0.0148,-0.0027,-0.077,-0.0417,0.0075
200002,0.042,-0.0463,-0.0235,-0.0027,-0.0126,-0.0944
200003,0.08470000000000001,0.095,0.10339999999999999,0.0262,0.10300000000000001,0.1281
200004,-0.1242,-0.0925,-0.1125,-0.1059,-0.0594,-0.0689
200005,-0.054000000000000006,0.0132,0.0301,-0.11710000000000001,-0.0382,-0.0002
200006,0.0533,0.08779999999999999,0.12689999999999999,0.0453,0.0689,0.094
200007,-0.16449999999999998,-0.11320000000000001,-0.094,-0.1292,-0.105,-0.1099
200008,0.0949,0.0741,0.0637,0.0924,0.0425,0.053399999999999996
200009,-0.08220000000000001,-0.057300000000000004,-0.0351,-0.0673,-0.0199,0.006500000000000001
200010,-0.1607,-0.1099,-0.0742,-0.1023,-0.0263,-0.029500000000000002
