date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192711,0.04384299999999999,0.11432700000000001,0.16527899999999998,0.101868,0.11964499999999999,0.142013,0.152073,0.081785,0.09057399999999999,0.09066800000000001,0.0638,0.08641299999999999,0.078631,0.070513,0.098732,0.076702,0.085809,0.076631,0.077876,0.08101000000000001,0.06875099999999999,0.065099,0.060045,0.070427,0.080776
192712,-0.039895,0.073889,0.038197,0.045378999999999996,0.069512,0.04812,0.037387000000000004,0.023815,0.030095,-0.003422,0.045742000000000005,0.046368,0.050609,0.034771,0.113299,0.000583,0.055718,0.043646000000000004,0.016744000000000002,-0.023195999999999998,0.028698,0.013101,0.012709,0.024474999999999997,0.10376899999999999
192801,-0.082763,0.07466,0.050289,0.017809,0.09983399999999999,0.01274,0.039,0.003138,0.050186,0.022786,0.048654,0.028130000000000002,0.04093,0.022307,-0.058498999999999995,0.017775,0.010841,0.004668,0.022130999999999998,0.0032069999999999998,-0.012715,-0.0025440000000000003,-0.006323,-0.016469,-0.050648
192802,0.006463,-0.048227,0.057779,0.030150999999999997,-0.048248,-0.05778,-0.020636,-0.025777,-0.021402,-0.056043,-0.025476000000000002,-0.019376,-0.028543,-0.025332,-0.060538999999999996,-0.047599,-0.013007999999999999,-0.025402,-0.030078999999999998,-0.08524,-0.001457,-0.00627,-0.004909,-0.021211,-0.013892
192803,0.400538,0.0032790000000000002,0.021025000000000002,-0.027415,0.08959400000000001,0.047346000000000006,0.118263,0.06871000000000001,0.07603399999999999,0.14391400000000001,0.062161,0.115117,0.100993,0.031273,0.10335699999999999,0.163866,0.090618,0.058284,0.077691,0.07908,0.158215,0.05242,0.06663000000000001,0.056627000000000004,0.167279
192804,-0.12881,0.14779899999999999,0.171059,0.029666,0.155922,0.003554,0.23695,0.036981,0.049326999999999996,0.104199,0.079354,0.047382,0.07364,0.045823,0.069519,0.05234200000000001,0.047965,0.023849999999999996,0.04539,0.037146,0.014265000000000002,0.068062,0.066232,0.027777,0.033096
192805,0.177179,-0.030154,0.043668,0.140701,0.059297,0.020846,0.027486999999999998,0.055439999999999996,0.061727,0.032917,0.027635,0.068539,0.012894000000000001,-0.013378000000000001,-0.031255000000000005,0.053999,-0.002297,0.011089,0.011633,0.021587000000000002,0.020855000000000002,0.02131,-0.005468,0.012094,-0.038807999999999995
192806,-0.19270900000000002,-0.089596,-0.132422,-0.08574899999999999,-0.094591,-0.079699,-0.09315799999999999,-0.093793,-0.07764599999999999,-0.059791,-0.064121,-0.046584,-0.071768,-0.072921,-0.070888,-0.071313,-0.055105,-0.034274,-0.057358,-0.058891,-0.03104,-0.036349,-0.035186,-0.048693999999999994,-0.09112
192807,-0.020217,0.035684,0.053845000000000004,0.012272,-0.0031590000000000003,0.010912999999999999,-0.037861,-0.011694,0.008003,-0.026184,-0.000414,-0.003134,-0.006748,0.003434,0.012929999999999999,0.008128999999999999,-0.006048,0.013312,0.01569,0.00868,0.01586,0.0023599999999999997,0.001687,0.0030159999999999996,0.007709000000000001
192808,0.07525699999999999,0.005454,0.041219,0.028014999999999998,0.035137999999999996,0.068055,0.038262,0.037556,0.032648,0.045087999999999996,0.064747,0.090328,0.08449999999999999,0.041817,0.081984,0.099166,0.081692,0.064622,0.077904,0.077462,0.087103,0.065941,0.052836,0.044406999999999995,0.049839
192809,0.037128999999999995,0.031614,0.019898,-0.002092,0.134699,0.031137,0.026532,0.057491,0.050118,0.134819,0.058082,0.047380000000000005,0.054907000000000004,0.064424,0.030627,0.05399,0.064761,0.029627,0.030373,0.059184,0.027789,0.010264,0.022595999999999998,0.005869,0.069794
192810,-0.039425,-0.038779,0.043796,0.037426,0.064494,0.050072,0.030889000000000003,0.022823000000000003,0.013849,0.022085,0.039514,0.049579000000000005,0.0262,0.002258,-0.025026000000000003,0.011071,-0.010248,-0.017484,0.04733,-0.036579,0.014639,0.029037,0.013474999999999999,-0.003614,0.047457
192811,0.038603,0.302108,0.07707900000000001,0.167378,0.12712099999999998,0.066941,0.078822,0.102999,0.134954,0.08255499999999999,0.09683199999999999,0.11362,0.187164,0.137626,0.156689,0.109224,0.118126,0.097614,0.077166,0.142763,0.115603,0.104534,0.160833,0.091276,0.178916
