date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199512,0.0092,0.011200000000000002,0.0182,0.018500000000000003,0.0253,0.0301
199601,0.0073,0.0088,0.0104,0.0063,0.012,0.005699999999999999
199602,0.0365,0.0308,0.0397,0.021,0.0215,0.022099999999999998
199603,0.0089,0.0151,0.0208,0.013300000000000001,0.0121,0.0115
199604,0.0165,0.0192,0.0146,0.0017000000000000001,0.0152,0.0109
199605,0.0378,0.029900000000000003,0.0374,0.0197,0.0175,0.0146
199606,-0.0018,-0.0007000000000000001,0.0032,0.0060999999999999995,0.006,0.0075
199607,-0.0296,-0.0134,-0.0098,-0.013300000000000001,-0.013999999999999999,-0.0138
199608,0.0239,0.022400000000000003,0.009899999999999999,0.0332,0.026099999999999998,0.0175
199609,-0.013999999999999999,-0.0043,-0.0073,0.0123,0.0265,0.0154
199610,0.0342,0.0273,0.022099999999999998,0.022400000000000003,0.0227,0.0084
199611,0.0252,0.0191,0.0264,0.042800000000000005,0.047400000000000005,0.0617
199612,0.021,0.021099999999999997,0.0296,0.0216,0.0255,0.0281
199701,0.0007000000000000001,0.0092,0.0177,-0.0077,-0.0005,0.015300000000000001
199702,0.0171,0.0179,0.0137,0.011200000000000002,0.009300000000000001,0.0096
199703,0.0055000000000000005,0.0161,0.0218,0.024900000000000002,0.0239,0.030299999999999997
199704,-0.0203,-0.0194,-0.0108,-0.0024,0.0026,-0.008100000000000001
199705,0.021099999999999997,0.0436,0.0393,0.0431,0.0508,0.046900000000000004
199706,-0.0019,0.01,0.015,0.0388,0.051500000000000004,0.0425
199707,-0.028300000000000002,-0.0172,0.0011,0.0424,0.039599999999999996,0.049100000000000005
199708,0.0169,0.0027,-0.0001,-0.0527,-0.057999999999999996,-0.053099999999999994
199709,0.050300000000000004,0.0528,0.0764,0.0883,0.0959,0.1157
199710,-0.0027,-0.0126,-0.0017000000000000001,-0.0507,-0.054299999999999994,-0.0339
199711,-0.0182,-0.0148,-0.0189,0.0128,0.0183,0.0036
199712,-0.0118,-0.005699999999999999,0.0062,0.027200000000000002,0.026099999999999998,0.0481
199801,0.023,0.006999999999999999,0.0415,0.048499999999999995,0.024900000000000002,0.0391
199802,0.058499999999999996,0.0602,0.0716,0.0799,0.0782,0.0868
199803,0.08470000000000001,0.0684,0.109,0.0416,0.07980000000000001,0.1079
199804,0.050199999999999995,0.0394,0.0333,0.0216,0.0276,0.0274
199805,0.0564,0.0388,0.047400000000000005,0.0128,0.0235,0.042
199806,-0.0256,-0.0366,-0.0378,0.0060999999999999995,0.0087,-0.0192
