target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_cv,median_min_wd,p10_min_wd,median_adj,score
0.700000,0.900000,0.300000,0.750000,amount,5,36,0.694444,1.000000,0.992308,2.405581,1.736113,1.349444,1.008216,0.347462,40483.333333,30246.480720,11.000000,2.682232
0.600000,0.900000,0.300000,0.500000,amount,5,36,0.722222,1.000000,1.000000,2.372446,1.642007,1.312500,1.093667,0.277479,39375.000000,32810.021677,13.000000,2.681824
0.600000,0.900000,0.400000,0.500000,amount,5,36,0.722222,1.000000,1.000000,2.433455,1.704281,1.312500,1.049993,0.322945,39375.000000,31499.784164,14.500000,2.678181
0.750000,0.900000,0.400000,0.750000,success_rate,5,36,0.722222,1.000000,0.992308,2.615830,1.870000,1.301974,0.971138,0.427578,39059.210526,29134.126924,14.000000,2.677632
0.700000,0.900000,0.400000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.384871,1.653350,1.348649,0.978774,0.335421,40459.484831,29363.211298,13.000000,2.676938
0.600000,0.900000,0.300000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.217696,1.612939,1.396961,1.017726,0.271856,41908.821397,30531.782388,11.000000,2.676924
0.700000,0.900000,0.300000,0.750000,success_rate,5,36,0.694444,1.000000,0.984615,2.407104,1.727694,1.357618,0.993043,0.363307,40728.536066,29791.280009,11.000000,2.674298
0.700000,0.900000,0.500000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.406916,1.703788,1.338642,0.987766,0.340854,40159.255009,29632.984774,16.000000,2.672883
0.700000,0.900000,0.400000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.362044,1.649949,1.349444,1.062324,0.326311,40483.333333,31869.713487,13.000000,2.667398
0.600000,0.900000,0.200000,1.000000,amount,5,36,0.472222,1.000000,0.992308,2.320502,1.708996,1.395891,0.948263,0.353066,41876.734088,28447.902433,10.000000,2.667347
0.600000,0.900000,0.200000,1.000000,success_rate,5,36,0.472222,1.000000,0.992308,2.320502,1.708996,1.395891,0.948263,0.353066,41876.734088,28447.902433,10.000000,2.667347
0.700000,0.900000,0.600000,0.750000,amount,5,36,0.777778,1.000000,1.000000,2.723328,1.889496,1.246285,0.911891,0.431962,37388.540204,27356.742062,18.000000,2.660994
0.600000,0.900000,0.200000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.131550,1.598897,1.444126,0.898005,0.273704,43323.789884,26940.136512,11.000000,2.656966
0.700000,0.900000,0.200000,0.750000,amount,5,36,0.638889,1.000000,0.984615,2.341322,1.704627,1.349444,1.067419,0.318811,40483.333333,32022.565500,10.000000,2.655846
0.750000,0.900000,0.400000,0.750000,amount,5,36,0.722222,1.000000,1.000000,2.605958,1.849000,1.285000,0.976194,0.416394,38550.000000,29285.819110,15.000000,2.651475
0.750000,0.900000,0.300000,0.750000,success_rate,5,36,0.750000,1.000000,0.992308,2.539694,1.791844,1.301974,0.982415,0.399214,39059.210526,29472.456704,12.500000,2.646591
0.700000,0.900000,0.500000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.338019,1.653662,1.347295,1.009256,0.320160,40418.854129,30277.688618,13.000000,2.645749
0.700000,0.900000,0.500000,0.500000,success_rate,5,36,0.805556,1.000000,1.000000,2.558943,1.813340,1.267094,0.987477,0.369827,38012.820513,29624.296683,17.000000,2.642854
0.600000,0.900000,0.200000,0.500000,amount,5,36,0.666667,1.000000,0.984615,2.315116,1.603789,1.312500,1.102993,0.260511,39375.000000,33089.791767,10.000000,2.642798
0.750000,0.900000,0.600000,0.750000,amount,5,36,0.805556,1.000000,1.000000,2.774681,1.936331,1.228043,0.945237,0.449248,36841.298736,28357.097824,19.000000,2.642038
0.600000,0.900000,0.500000,0.500000,success_rate,15,36,1.000000,1.000000,1.000000,2.282775,1.581068,1.355714,0.998114,0.292901,40671.428571,29943.427863,18.000000,2.641557
0.750000,0.900000,0.200000,0.750000,success_rate,5,36,0.611111,1.000000,0.984615,2.539694,1.793769,1.301974,0.982415,0.402767,39059.210526,29472.456704,12.000000,2.640718
0.600000,0.900000,0.300000,0.750000,success_rate,20,36,1.000000,1.000000,1.000000,2.163201,1.583819,1.404432,1.087526,0.262091,42132.968076,32625.766932,9.000000,2.639944
0.800000,0.900000,0.600000,0.750000,amount,5,36,0.833333,1.000000,1.000000,2.886125,2.007091,1.216224,0.928927,0.498159,36486.717372,27867.818793,24.000000,2.635862
0.750000,0.900000,0.700000,0.500000,success_rate,5,36,0.833333,1.000000,1.000000,2.789431,1.953449,1.215196,0.953448,0.448595,36455.882353,28603.454804,29.500000,2.629403
0.600000,0.900000,0.400000,0.500000,success_rate,10,36,1.000000,1.000000,1.000000,2.267342,1.586699,1.355714,0.971107,0.290044,40671.428571,29133.215951,15.000000,2.628089
0.800000,0.900000,0.600000,0.750000,success_rate,5,36,0.805556,1.000000,1.000000,2.877787,2.011022,1.215910,0.925966,0.498044,36477.309620,27778.985184,23.000000,2.627770
0.800000,0.900000,0.300000,1.000000,amount,5,36,0.750000,1.000000,0.992308,2.610778,1.865054,1.285255,0.778070,0.433795,38557.641894,23342.111580,15.000000,2.627712
0.800000,0.900000,0.300000,1.000000,success_rate,5,36,0.750000,1.000000,0.992308,2.610778,1.865054,1.285255,0.778070,0.433795,38557.641894,23342.111580,15.000000,2.627712
0.600000,0.900000,0.200000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.161749,1.578326,1.412793,0.954386,0.280411,42383.792002,28631.571482,10.500000,2.625902
0.700000,0.900000,0.400000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.296909,1.597404,1.349444,1.020298,0.306420,40483.333333,30608.935118,11.500000,2.624670
0.700000,0.900000,0.500000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.335177,1.654227,1.338642,0.987766,0.321390,40159.255009,29632.984774,14.000000,2.623640
0.600000,0.900000,0.500000,0.500000,amount,10,36,1.000000,1.000000,1.000000,2.351390,1.645210,1.312500,1.033903,0.300788,39375.000000,31017.103668,21.000000,2.622053
