target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,median_util,p10_util,median_discounted,p10_floor_self,smoothness,score
0.950000,0.990000,0.400000,0.100000,success_rate,5,0.027034,27034.482759,2000,0.911000,1.000000,1.000000,4.238018,1.419076,1.000000,0.881231,4.663615,1.403832,0.826551,0.000000,27034.482759,23823.611224,22.000000,0.126078,0.037952,0.095630,0.881231,1.000000,1.221321
0.950000,0.990000,0.300000,0.100000,success_rate,5,0.027034,27034.482759,2000,0.899000,1.000000,1.000000,4.187742,1.390403,1.000000,0.892895,4.644912,1.381399,0.822797,0.000000,27034.482759,24138.950190,21.000000,0.125573,0.037345,0.095554,0.892895,1.000000,1.220167
0.950000,0.990000,0.400000,0.100000,amount,5,0.027034,27034.482759,2000,0.956500,1.000000,1.000000,4.190181,1.381299,1.000000,0.940474,4.649818,1.348333,0.948594,0.000000,27034.482759,25425.232562,40.000000,0.125705,0.036451,0.092067,0.940474,1.000000,1.217708
0.950000,0.990000,0.600000,0.100000,amount,5,0.027034,27034.482759,2000,0.977500,1.000000,1.000000,4.208132,1.438665,1.000000,0.888299,4.657711,1.402026,0.955942,0.000000,27034.482759,24014.715863,40.000000,0.125919,0.037903,0.092176,0.888299,1.000000,1.211666
0.950000,0.990000,0.200000,0.250000,amount,5,0.027034,27034.482759,2000,0.911500,1.000000,1.000000,4.120667,1.368090,1.000000,0.918944,4.555836,1.355233,0.827946,0.000000,27034.482759,24843.189202,23.000000,0.123165,0.036638,0.094418,0.918944,1.000000,1.211347
0.950000,0.990000,0.500000,0.100000,amount,5,0.027034,27034.482759,2000,0.968500,1.000000,1.000000,4.201287,1.409794,1.000000,0.894664,4.655510,1.358946,0.953832,0.000000,27034.482759,24186.789052,40.000000,0.125859,0.036738,0.092176,0.894664,1.000000,1.210096
0.950000,0.990000,0.700000,0.100000,amount,5,0.027034,27034.482759,2000,0.983000,1.000000,1.000000,4.236746,1.465625,1.000000,0.839823,4.676212,1.438451,0.965664,0.000000,27034.482759,22704.173950,41.000000,0.126419,0.038888,0.092655,0.839823,1.000000,1.207497
0.950000,0.990000,0.500000,0.250000,amount,5,0.027034,27034.482759,2000,0.969500,1.000000,1.000000,4.216294,1.475009,1.000000,0.811874,4.637376,1.460160,0.854753,0.000000,27034.482759,21948.597770,24.000000,0.125369,0.039475,0.095139,0.811874,1.000000,1.206745
0.950000,0.990000,0.400000,0.250000,amount,5,0.027034,27034.482759,2000,0.955000,1.000000,1.000000,4.215159,1.442291,1.000000,0.852553,4.586691,1.432096,0.846095,0.000000,27034.482759,23048.336049,24.000000,0.123999,0.038716,0.094670,0.852553,1.000000,1.206626
0.950000,0.990000,0.600000,0.100000,success_rate,5,0.027034,27034.482759,2000,0.942500,1.000000,1.000000,4.281112,1.476726,1.000000,0.854517,4.712259,1.465149,0.836720,0.006328,27034.482759,23101.421999,24.000000,0.127393,0.039610,0.096433,0.854517,0.887651,1.204578
0.950000,0.990000,0.500000,0.100000,success_rate,5,0.027034,27034.482759,2000,0.939000,1.000000,1.000000,4.246450,1.443091,1.000000,0.859064,4.672790,1.432837,0.828800,0.004526,27034.482759,23224.356298,23.000000,0.126326,0.038736,0.095889,0.859064,0.916990,1.203758
0.950000,0.990000,0.100000,0.100000,success_rate,5,0.027034,27034.482759,2000,0.818500,1.000000,0.984615,4.200621,1.346049,1.000000,1.000000,4.661403,1.341341,0.813676,0.000000,27034.482759,27034.482759,20.000000,0.126019,0.036262,0.095620,1.000000,1.000000,1.203129
0.950000,0.990000,0.300000,0.250000,amount,5,0.027034,27034.482759,2000,0.938500,1.000000,1.000000,4.144912,1.403987,1.000000,0.860874,4.555836,1.391173,0.832506,0.000000,27034.482759,23273.278355,23.000000,0.123165,0.037610,0.094379,0.860874,1.000000,1.201802
0.950000,0.990000,0.700000,0.100000,success_rate,5,0.027034,27034.482759,2000,0.946000,1.000000,1.000000,4.288010,1.499142,1.000000,0.830108,4.714741,1.485984,0.843599,0.007331,27034.482759,22441.549724,25.000000,0.127461,0.040173,0.096679,0.830108,0.872133,1.198851
0.950000,0.990000,0.300000,0.250000,success_rate,5,0.027034,27034.482759,2000,0.889000,1.000000,1.000000,4.137845,1.425750,1.000000,0.835623,4.535572,1.413565,0.790692,0.000000,27034.482759,22590.629011,17.000000,0.122617,0.038215,0.095142,0.835623,1.000000,1.198347
0.950000,0.990000,0.200000,0.250000,success_rate,5,0.027034,27034.482759,2000,0.848000,1.000000,1.000000,4.087996,1.401137,1.000000,0.857034,4.519698,1.383828,0.785098,0.000000,27034.482759,23169.477649,16.000000,0.122188,0.037411,0.094489,0.857034,1.000000,1.197254
0.950000,0.990000,0.100000,0.250000,amount,5,0.027034,27034.482759,2000,0.861500,1.000000,0.984615,4.115339,1.324631,1.000000,1.000000,4.566767,1.333193,0.820928,0.000000,27034.482759,27034.482759,22.000000,0.123460,0.036042,0.094530,1.000000,1.000000,1.190177
0.950000,0.990000,0.600000,0.250000,amount,5,0.027034,27034.482759,2000,0.976000,1.000000,1.000000,4.261808,1.522834,1.000000,0.776884,4.679281,1.512098,0.875665,0.008877,27034.482759,21002.670084,25.000000,0.126502,0.040879,0.095743,0.776884,0.849231,1.178812
0.950000,0.990000,0.700000,0.250000,amount,5,0.027034,27034.482759,2000,0.979500,1.000000,1.000000,4.294922,1.560647,1.000000,0.767378,4.736136,1.556453,0.886676,0.012867,27034.482759,20745.680047,27.000000,0.128039,0.042078,0.096617,0.767378,0.795336,1.177216
0.950000,0.990000,0.200000,0.100000,amount,10,0.027034,27034.482759,2000,0.946000,1.000000,1.000000,3.888943,1.306372,1.000000,1.000000,4.315537,1.273827,0.834792,0.000000,27034.482759,27034.482759,38.000000,0.116668,0.034437,0.086932,1.000000,1.000000,1.175786
0.950000,0.990000,0.100000,0.100000,amount,10,0.027034,27034.482759,2000,0.926000,1.000000,1.000000,3.895134,1.298391,1.000000,1.000000,4.322407,1.261370,0.833444,0.000000,27034.482759,27034.482759,38.000000,0.116854,0.034100,0.086932,1.000000,1.000000,1.175725
0.950000,0.990000,0.100000,0.250000,success_rate,5,0.027034,27034.482759,2000,0.789000,1.000000,0.984615,4.112442,1.363591,1.000000,0.920905,4.545620,1.331100,0.777351,0.000000,27034.482759,24896.190474,16.000000,0.122888,0.035986,0.094553,0.920905,1.000000,1.172707
0.950000,0.990000,0.400000,0.250000,success_rate,5,0.027034,27034.482759,2000,0.900500,1.000000,1.000000,4.151292,1.458701,1.000000,0.838857,4.572868,1.449972,0.800211,0.011700,27034.482759,22678.056345,18.000000,0.123625,0.039199,0.095618,0.838857,0.810373,1.168492
