target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,median_util,p10_util,median_discounted,p10_floor_self,smoothness,score
0.950000,0.990000,0.700000,0.050000,success_rate,5,0.022556,22555.555556,2000,0.919500,1.000000,1.000000,2.397068,1.224137,1.000000,0.889157,3.147458,1.272430,0.687397,0.003734,22555.555556,20055.436663,26.000000,0.070993,0.028700,0.056442,0.889157,0.930509,0.864057
0.950000,0.990000,0.400000,0.100000,amount,1,0.022556,22555.555556,2000,0.967000,1.000000,1.000000,2.255729,1.184502,1.000000,0.950260,2.954032,1.213462,0.739034,0.000000,22555.555556,21433.642057,38.000000,0.066630,0.027370,0.052803,0.950260,1.000000,0.859905
0.950000,0.990000,0.500000,0.100000,amount,1,0.022556,22555.555556,2000,0.979000,1.000000,1.000000,2.267956,1.187050,1.000000,0.943390,2.956452,1.218929,0.741197,0.000000,22555.555556,21278.677922,39.000000,0.066684,0.027494,0.052925,0.943390,1.000000,0.859380
0.950000,0.990000,0.400000,0.100000,amount,5,0.022556,22555.555556,2000,0.962000,1.000000,1.000000,2.217137,1.182149,1.000000,0.951261,2.923285,1.210213,0.711530,0.000000,22555.555556,21456.210511,37.000000,0.065936,0.027297,0.052370,0.951261,1.000000,0.856043
0.950000,0.990000,0.500000,0.100000,amount,5,0.022556,22555.555556,2000,0.974500,1.000000,1.000000,2.241249,1.183659,1.000000,0.948092,2.926083,1.211731,0.715001,0.000000,22555.555556,21384.736934,37.000000,0.065999,0.027331,0.052383,0.948092,1.000000,0.855760
0.950000,0.990000,0.400000,0.250000,amount,5,0.022556,22555.555556,2000,0.957000,1.000000,1.000000,2.265994,1.196001,1.000000,0.871210,2.974338,1.251128,0.630650,0.000000,22555.555556,19650.623300,21.000000,0.067088,0.028220,0.054687,0.871210,1.000000,0.853378
0.950000,0.990000,0.200000,0.250000,success_rate,5,0.022556,22555.555556,2000,0.870500,1.000000,1.000000,2.221026,1.171648,1.000000,0.890876,2.917050,1.219024,0.564717,0.000000,22555.555556,20094.199359,14.000000,0.065796,0.027496,0.054223,0.890876,1.000000,0.849444
0.950000,0.990000,0.600000,0.100000,amount,1,0.022556,22555.555556,2000,0.984500,1.000000,1.000000,2.273707,1.191531,1.000000,0.902368,2.956452,1.234230,0.747703,0.000670,22555.555556,20353.422006,39.000000,0.066684,0.027839,0.052930,0.902368,0.986782,0.849324
0.950000,0.990000,0.600000,0.100000,amount,5,0.022556,22555.555556,2000,0.980000,1.000000,1.000000,2.247324,1.187275,1.000000,0.902368,2.926083,1.224996,0.718464,0.000000,22555.555556,20353.422006,38.000000,0.065999,0.027630,0.052428,0.902368,1.000000,0.847424
0.950000,0.990000,0.400000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.910000,1.000000,1.000000,2.325543,1.199556,1.000000,0.931304,3.048810,1.243727,0.634751,0.008007,22555.555556,21006.078351,19.000000,0.068768,0.028053,0.055831,0.931304,0.861958,0.847143
0.950000,0.990000,0.100000,0.100000,amount,10,0.022556,22555.555556,2000,0.948000,1.000000,1.000000,2.105477,1.153904,1.000000,1.000000,2.789350,1.170575,0.635017,0.000000,22555.555556,22555.555556,34.500000,0.062915,0.026403,0.050523,1.000000,1.000000,0.846908
0.950000,0.990000,0.200000,0.100000,amount,10,0.022556,22555.555556,2000,0.964500,1.000000,1.000000,2.101836,1.150548,1.000000,1.000000,2.785919,1.166574,0.632724,0.000000,22555.555556,22555.555556,35.000000,0.062838,0.026313,0.050492,1.000000,1.000000,0.846323
0.950000,0.990000,0.500000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.917500,1.000000,1.000000,2.331976,1.205216,1.000000,0.908384,3.063870,1.257334,0.636903,0.008699,22555.555556,20489.106869,20.000000,0.069107,0.028360,0.055872,0.908384,0.851810,0.842618
0.950000,0.990000,0.700000,0.100000,amount,5,0.022556,22555.555556,2000,0.985500,1.000000,1.000000,2.257660,1.190864,1.000000,0.861743,2.952831,1.231091,0.726692,0.000000,22555.555556,19437.090304,39.000000,0.066603,0.027768,0.052472,0.861743,1.000000,0.842004
0.950000,0.990000,0.300000,0.100000,amount,10,0.022556,22555.555556,2000,0.973000,1.000000,1.000000,2.100067,1.149618,1.000000,0.975461,2.782288,1.170139,0.633459,0.000000,22555.555556,22002.063579,35.000000,0.062756,0.026393,0.050447,0.975461,1.000000,0.841154
0.950000,0.990000,0.100000,0.250000,success_rate,5,0.022556,22555.555556,2000,0.809000,1.000000,1.000000,2.220841,1.164228,1.000000,0.848930,2.914959,1.189812,0.557502,0.000000,22555.555556,19148.094574,13.000000,0.065749,0.026837,0.054440,0.848930,1.000000,0.840045
0.950000,0.990000,0.600000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.923000,1.000000,1.000000,2.350694,1.214309,1.000000,0.888727,3.071195,1.277812,0.648058,0.009261,22555.555556,20045.739873,22.000000,0.069273,0.028822,0.055905,0.888727,0.843720,0.838826
0.950000,0.990000,0.700000,0.100000,amount,1,0.022556,22555.555556,2000,0.988000,1.000000,1.000000,2.294736,1.198478,1.000000,0.857351,2.990196,1.244578,0.751804,0.002587,22555.555556,19338.038616,40.000000,0.067446,0.028072,0.052922,0.857351,0.950803,0.836479
0.950000,0.990000,0.400000,0.100000,amount,10,0.022556,22555.555556,2000,0.986000,1.000000,1.000000,2.103158,1.148398,1.000000,0.948050,2.782288,1.173091,0.634127,0.000000,22555.555556,21383.799075,35.000000,0.062756,0.026460,0.050436,0.948050,1.000000,0.835786
0.950000,0.990000,0.100000,0.500000,amount,5,0.022556,22555.555556,2000,0.818000,1.000000,1.000000,2.205868,1.160514,1.000000,0.830722,2.893093,1.191094,0.549829,0.000000,22555.555556,18737.401880,12.000000,0.065255,0.026866,0.054786,0.830722,1.000000,0.835657
0.950000,0.990000,0.200000,0.500000,amount,5,0.022556,22555.555556,2000,0.907500,1.000000,1.000000,2.210855,1.178632,1.000000,0.833211,2.878872,1.235343,0.556479,0.000000,22555.555556,18793.535973,13.000000,0.064935,0.027864,0.054020,0.833211,1.000000,0.834901
0.950000,0.990000,0.300000,0.050000,amount,1,0.022556,22555.555556,2000,0.954500,1.000000,1.000000,2.048490,1.158692,1.000000,1.000000,2.718645,1.167021,0.768198,0.000000,22555.555556,22555.555556,47.000000,0.061321,0.026323,0.047873,1.000000,1.000000,0.832796
0.950000,0.990000,0.100000,0.050000,amount,1,0.022556,22555.555556,2000,0.943500,1.000000,1.000000,2.048490,1.165745,1.000000,1.000000,2.718645,1.164707,0.768198,0.000000,22555.555556,22555.555556,47.000000,0.061321,0.026271,0.047873,1.000000,1.000000,0.832679
0.950000,0.990000,0.200000,0.050000,amount,1,0.022556,22555.555556,2000,0.949500,1.000000,1.000000,2.048490,1.161410,1.000000,1.000000,2.718645,1.164438,0.768198,0.000000,22555.555556,22555.555556,47.000000,0.061321,0.026265,0.047873,1.000000,1.000000,0.832665
0.950000,0.990000,0.700000,0.100000,success_rate,5,0.022556,22555.555556,2000,0.929000,1.000000,1.000000,2.367915,1.228256,1.000000,0.849208,3.082345,1.297914,0.660528,0.009574,22555.555556,19154.353719,24.000000,0.069524,0.029275,0.056117,0.849208,0.839299,0.832638
0.950000,0.990000,0.400000,0.050000,amount,1,0.022556,22555.555556,2000,0.962500,1.000000,1.000000,2.050666,1.154618,1.000000,0.994227,2.718645,1.168790,0.769157,0.000000,22555.555556,22425.351879,48.000000,0.061321,0.026363,0.047873,0.994227,1.000000,0.831731
0.950000,0.990000,0.500000,0.250000,amount,5,0.022556,22555.555556,2000,0.970500,1.000000,1.000000,2.280685,1.207044,1.000000,0.870229,2.979638,1.268293,0.637421,0.007062,22555.555556,19628.509003,22.000000,0.067207,0.028607,0.054723,0.870229,0.876239,0.829856
0.950000,0.990000,0.100000,0.050000,amount,5,0.022556,22555.555556,2000,0.942000,1.000000,1.000000,2.018740,1.158897,1.000000,1.000000,2.679824,1.162387,0.739791,0.000000,22555.555556,22555.555556,47.000000,0.060445,0.026218,0.047404,1.000000,1.000000,0.827872
0.950000,0.990000,0.500000,0.050000,amount,1,0.022556,22555.555556,2000,0.968500,1.000000,1.000000,2.053384,1.154296,1.000000,0.974046,2.718645,1.171525,0.770716,0.000000,22555.555556,21970.146245,48.000000,0.061321,0.026424,0.047873,0.974046,1.000000,0.827834
0.950000,0.990000,0.200000,0.050000,amount,5,0.022556,22555.555556,2000,0.948500,1.000000,1.000000,2.018740,1.155360,1.000000,1.000000,2.679824,1.157155,0.739791,0.000000,22555.555556,22555.555556,47.000000,0.060445,0.026100,0.047404,1.000000,1.000000,0.827607
0.950000,0.990000,0.300000,0.050000,amount,5,0.022556,22555.555556,2000,0.953500,1.000000,1.000000,2.018740,1.151093,1.000000,1.000000,2.679824,1.156347,0.739791,0.000000,22555.555556,22555.555556,47.000000,0.060445,0.026082,0.047404,1.000000,1.000000,0.827566
0.950000,0.990000,0.400000,0.050000,amount,5,0.022556,22555.555556,2000,0.962500,1.000000,1.000000,2.020016,1.147729,1.000000,0.995069,2.679824,1.164574,0.741468,0.000000,22555.555556,22444.327666,47.000000,0.060445,0.026268,0.047365,0.995069,1.000000,0.826878
0.950000,0.990000,0.100000,0.100000,amount,15,0.022556,22555.555556,2000,0.960000,1.000000,1.000000,1.982257,1.130504,1.000000,1.000000,2.635868,1.142473,0.575845,0.000000,22555.555556,22555.555556,33.000000,0.059453,0.025769,0.048226,1.000000,1.000000,0.825608
0.950000,0.990000,0.500000,0.050000,amount,5,0.022556,22555.555556,2000,0.968500,1.000000,1.000000,2.021064,1.145510,1.000000,0.974046,2.682915,1.164166,0.746045,0.000000,22555.555556,21970.146245,47.000000,0.060515,0.026258,0.047365,0.974046,1.000000,0.822914
0.950000,0.990000,0.500000,0.100000,amount,10,0.022556,22555.555556,2000,0.991500,1.000000,1.000000,2.115034,1.148791,1.000000,0.917170,2.779321,1.175901,0.635704,0.001739,22555.555556,20687.284457,36.000000,0.062689,0.026523,0.050395,0.917170,0.966395,0.822659
0.950000,0.990000,0.600000,0.050000,amount,1,0.022556,22555.555556,2000,0.975500,1.000000,1.000000,2.056810,1.151696,1.000000,0.935401,2.720740,1.176297,0.774286,0.000000,22555.555556,21098.493874,48.000000,0.061368,0.026532,0.047932,0.935401,1.000000,0.820704
0.900000,0.990000,0.300000,0.100000,amount,5,0.025872,25871.794872,2000,0.921500,1.000000,1.000000,2.156048,1.143435,1.000000,0.806713,2.482781,1.010943,0.644169,0.000000,25871.794872,20871.113716,28.000000,0.064234,0.026155,0.051944,0.806713,1.000000,0.816902
0.950000,0.990000,0.200000,0.100000,amount,15,0.022556,22555.555556,2000,0.975000,1.000000,1.000000,1.980577,1.126887,1.000000,0.954927,2.632967,1.137558,0.575279,0.000000,22555.555556,21538.918427,33.000000,0.059388,0.025658,0.048222,0.954927,1.000000,0.816089
0.950000,0.990000,0.600000,0.050000,amount,5,0.022556,22555.555556,2000,0.973500,1.000000,1.000000,2.033384,1.144161,1.000000,0.935401,2.685024,1.171844,0.747321,0.000000,22555.555556,21098.493874,48.000000,0.060562,0.026432,0.047391,0.935401,1.000000,0.815832
0.950000,0.990000,0.100000,0.500000,success_rate,5,0.022556,22555.555556,2000,0.784000,1.000000,1.000000,2.185642,1.161687,1.000000,0.747091,2.865595,1.214335,0.537460,0.000000,22555.555556,16851.043811,10.000000,0.064635,0.027390,0.053937,0.747091,1.000000,0.815237
0.900000,0.990000,0.300000,0.050000,success_rate,5,0.025872,25871.794872,2000,0.829500,1.000000,1.000000,2.211521,1.148979,1.000000,0.740941,2.552408,1.018992,0.596370,0.001071,25871.794872,19169.473207,18.000000,0.066035,0.026363,0.054423,0.740941,0.979031,0.814214
0.950000,0.990000,0.700000,0.050000,amount,1,0.022556,22555.555556,2000,0.981000,1.000000,1.000000,2.065980,1.153049,1.000000,0.902093,2.721047,1.176213,0.777786,0.000000,22555.555556,20347.206324,48.000000,0.061375,0.026530,0.047953,0.902093,1.000000,0.814127
0.900000,0.990000,0.400000,0.100000,amount,5,0.025872,25871.794872,2000,0.938000,1.000000,1.000000,2.158613,1.147731,1.000000,0.787928,2.482781,1.024854,0.648580,0.000000,25871.794872,20385.108861,29.000000,0.064234,0.026515,0.051973,0.787928,1.000000,0.814039
0.900000,0.990000,0.300000,0.250000,amount,5,0.025872,25871.794872,2000,0.893000,1.000000,1.000000,2.185585,1.155487,1.000000,0.744494,2.503981,1.040790,0.567359,0.000000,25871.794872,19261.397508,15.000000,0.064782,0.026927,0.053658,0.744494,1.000000,0.813394
0.900000,0.990000,0.200000,0.050000,success_rate,5,0.025872,25871.794872,2000,0.815500,1.000000,1.000000,2.210693,1.142867,1.000000,0.721153,2.549031,1.005595,0.595505,0.000000,25871.794872,18657.521540,17.000000,0.065948,0.026017,0.054423,0.721153,1.000000,0.813343
