target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,score
0.950000,0.990000,0.700000,0.100000,success_rate,1,0.013769,13769.230769,2000,0.999000,1.000000,1.000000,5.903611,1.425133,0.458974,0.387148,5.383809,0.864335,1.536190,0.170452,13769.230769,11614.433660,23.000000,1.992583
0.950000,0.990000,0.500000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.997500,1.000000,1.000000,5.791795,1.460128,0.458974,0.458974,5.319691,0.895529,1.374758,0.166286,13769.230769,13769.230769,11.000000,1.992137
0.950000,0.990000,0.100000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.966000,1.000000,1.000000,5.722255,1.401716,0.458974,0.458974,5.319691,0.860045,1.364192,0.168024,13769.230769,13769.230769,11.000000,1.991790
0.950000,0.990000,0.700000,0.250000,success_rate,1,0.013769,13769.230769,2000,0.997000,1.000000,1.000000,5.911539,1.463077,0.458974,0.341354,5.403224,0.901341,1.444618,0.170241,13769.230769,10240.614296,15.000000,1.987001
0.950000,0.990000,0.300000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.993500,1.000000,1.000000,5.737185,1.422242,0.458974,0.458974,5.298383,0.879375,1.367390,0.167110,13769.230769,13769.230769,11.000000,1.985580
0.950000,0.990000,0.400000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.994000,1.000000,1.000000,5.768930,1.453664,0.458974,0.458974,5.298383,0.889997,1.370160,0.167375,13769.230769,13769.230769,11.000000,1.985527
0.950000,0.990000,0.200000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.981500,1.000000,1.000000,5.722255,1.413644,0.458974,0.458974,5.298383,0.873382,1.366666,0.167627,13769.230769,13769.230769,11.000000,1.985477
0.950000,0.990000,0.100000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.892000,1.000000,1.000000,5.608248,1.403206,0.458974,0.458974,5.164166,0.877373,1.277583,0.000000,13769.230769,13769.230769,6.000000,1.978737
0.950000,0.990000,0.400000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.924000,1.000000,1.000000,5.674222,1.451231,0.458974,0.458974,5.150096,0.887079,1.283249,0.000000,13769.230769,13769.230769,7.000000,1.974516
0.950000,0.990000,0.500000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.940000,1.000000,1.000000,5.689268,1.456518,0.458974,0.458974,5.150096,0.889959,1.290509,0.000000,13769.230769,13769.230769,7.000000,1.974516
0.950000,0.990000,0.200000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.904000,1.000000,1.000000,5.596992,1.420198,0.458974,0.458974,5.150096,0.886899,1.280324,0.000000,13769.230769,13769.230769,7.000000,1.974516
0.950000,0.990000,0.600000,0.500000,amount,1,0.013769,13769.230769,2000,0.990500,1.000000,1.000000,5.895420,1.472253,0.458974,0.317856,5.308722,0.902200,1.422393,0.085783,13769.230769,9535.668919,14.000000,1.969668
0.950000,0.990000,0.300000,0.250000,amount,1,0.013769,13769.230769,2000,0.968500,1.000000,1.000000,5.656205,1.347514,0.458974,0.458974,5.139073,0.836961,1.445962,0.016818,13769.230769,13769.230769,20.000000,1.967845
0.950000,0.990000,0.400000,0.250000,amount,1,0.013769,13769.230769,2000,0.973500,1.000000,1.000000,5.672545,1.368317,0.458974,0.458974,5.139073,0.846573,1.447894,0.017043,13769.230769,13769.230769,20.000000,1.967800
0.950000,0.990000,0.500000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.945500,1.000000,1.000000,5.747224,1.423003,0.458974,0.458974,5.126804,0.880689,1.318781,0.000000,13769.230769,13769.230769,8.000000,1.967528
0.950000,0.990000,0.700000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.997500,1.000000,1.000000,5.904141,1.484272,0.458974,0.324603,5.349880,0.919925,1.383649,0.167611,13769.230769,9738.075448,12.000000,1.967336
0.950000,0.990000,0.100000,0.250000,amount,1,0.013769,13769.230769,2000,0.937500,1.000000,1.000000,5.645832,1.324774,0.458974,0.458974,5.135301,0.823564,1.442118,0.015298,13769.230769,13769.230769,20.000000,1.967018
0.950000,0.990000,0.200000,0.250000,amount,1,0.013769,13769.230769,2000,0.955500,1.000000,1.000000,5.642184,1.335878,0.458974,0.458974,5.135301,0.827933,1.444700,0.016045,13769.230769,13769.230769,20.000000,1.966869
0.950000,0.990000,0.500000,0.250000,amount,1,0.013769,13769.230769,2000,0.977000,1.000000,1.000000,5.693422,1.383901,0.458974,0.458974,5.135301,0.858693,1.457173,0.017404,13769.230769,13769.230769,20.000000,1.966597
0.950000,0.990000,0.200000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.911500,1.000000,1.000000,5.710920,1.383109,0.458974,0.458974,5.118490,0.866349,1.311467,0.000000,13769.230769,13769.230769,8.000000,1.965034
0.950000,0.990000,0.300000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.928000,1.000000,1.000000,5.710920,1.388014,0.458974,0.458974,5.118490,0.868710,1.314681,0.000000,13769.230769,13769.230769,8.000000,1.965034
0.950000,0.990000,0.500000,0.500000,amount,5,0.013769,13769.230769,2000,0.954000,1.000000,1.000000,5.648764,1.401050,0.458974,0.458974,5.117755,0.867096,1.352194,0.000000,13769.230769,13769.230769,10.000000,1.964814
0.950000,0.990000,0.500000,0.750000,amount,5,0.013769,13769.230769,2000,0.953000,1.000000,1.000000,5.635137,1.440008,0.458974,0.458974,5.113677,0.890229,1.304008,0.000000,13769.230769,13769.230769,7.000000,1.963590
0.950000,0.990000,0.100000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.896000,1.000000,1.000000,5.701319,1.378474,0.458974,0.458974,5.112752,0.854425,1.307827,0.000000,13769.230769,13769.230769,8.000000,1.963313
0.950000,0.990000,0.400000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.934500,1.000000,1.000000,5.745399,1.408781,0.458974,0.458974,5.110590,0.884959,1.318294,0.000000,13769.230769,13769.230769,8.000000,1.962664
0.950000,0.990000,0.100000,0.750000,amount,5,0.013769,13769.230769,2000,0.898000,1.000000,1.000000,5.586502,1.403866,0.458974,0.458974,5.109739,0.865700,1.288380,0.000000,13769.230769,13769.230769,7.000000,1.962409
0.950000,0.990000,0.700000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.951500,1.000000,1.000000,5.781612,1.456552,0.458974,0.326029,5.219864,0.902268,1.332327,0.000000,13769.230769,9780.881724,9.000000,1.962210
0.950000,0.990000,0.100000,0.750000,amount,1,0.013769,13769.230769,2000,0.963500,1.000000,1.000000,5.652925,1.418292,0.458974,0.458974,5.197337,0.864724,1.341357,0.134087,13769.230769,13769.230769,10.000000,1.961871
0.950000,0.990000,0.600000,0.500000,success_rate,1,0.013769,13769.230769,2000,0.997500,1.000000,1.000000,5.838934,1.475637,0.458974,0.328854,5.327538,0.908953,1.378341,0.167267,13769.230769,9865.620790,12.000000,1.961765
0.950000,0.990000,0.200000,0.500000,amount,5,0.013769,13769.230769,2000,0.921500,1.000000,1.000000,5.597620,1.346679,0.458974,0.458974,5.106222,0.838319,1.345140,0.000000,13769.230769,13769.230769,10.000000,1.961354
0.950000,0.990000,0.300000,0.500000,amount,5,0.013769,13769.230769,2000,0.937500,1.000000,1.000000,5.614662,1.355825,0.458974,0.458974,5.106222,0.847719,1.347182,0.000000,13769.230769,13769.230769,10.000000,1.961354
0.950000,0.990000,0.400000,0.750000,amount,1,0.013769,13769.230769,2000,0.994000,1.000000,1.000000,5.750253,1.463709,0.458974,0.458974,5.197337,0.908012,1.351836,0.138073,13769.230769,13769.230769,11.000000,1.961073
0.950000,0.990000,0.200000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.920500,1.000000,1.000000,5.605275,1.331019,0.458974,0.458974,5.101800,0.824255,1.339763,0.000000,13769.230769,13769.230769,11.000000,1.960027
0.950000,0.990000,0.200000,0.750000,amount,1,0.013769,13769.230769,2000,0.981500,1.000000,1.000000,5.652925,1.428080,0.458974,0.458974,5.189925,0.886364,1.346112,0.134593,13769.230769,13769.230769,10.000000,1.959546
0.950000,0.990000,0.400000,0.500000,amount,5,0.013769,13769.230769,2000,0.944500,1.000000,1.000000,5.639141,1.378723,0.458974,0.458974,5.099250,0.863670,1.348445,0.000000,13769.230769,13769.230769,10.000000,1.959262
0.950000,0.990000,0.300000,0.750000,amount,1,0.013769,13769.230769,2000,0.992500,1.000000,1.000000,5.690541,1.437001,0.458974,0.458974,5.189925,0.887454,1.347546,0.137258,13769.230769,13769.230769,11.000000,1.959013
0.950000,0.990000,0.700000,0.250000,amount,1,0.013769,13769.230769,2000,0.982000,1.000000,1.000000,5.726636,1.424733,0.458974,0.372056,5.176790,0.868014,1.461460,0.018170,13769.230769,11161.674530,20.000000,1.957161
0.950000,0.990000,0.500000,0.750000,amount,1,0.013769,13769.230769,2000,0.998000,1.000000,1.000000,5.750253,1.473167,0.458974,0.426029,5.210079,0.912863,1.354971,0.138104,13769.230769,12780.880672,11.000000,1.956654
0.950000,0.990000,0.300000,0.750000,amount,5,0.013769,13769.230769,2000,0.929500,1.000000,1.000000,5.614850,1.415283,0.458974,0.458974,5.084766,0.877001,1.297662,0.000000,13769.230769,13769.230769,7.000000,1.954917
0.950000,0.990000,0.200000,0.750000,amount,5,0.013769,13769.230769,2000,0.918000,1.000000,1.000000,5.599557,1.415325,0.458974,0.458974,5.084766,0.871774,1.293389,0.000000,13769.230769,13769.230769,7.000000,1.954917
0.950000,0.990000,0.400000,0.750000,amount,5,0.013769,13769.230769,2000,0.938000,1.000000,1.000000,5.671869,1.440898,0.458974,0.458974,5.084766,0.882833,1.298330,0.000000,13769.230769,13769.230769,7.000000,1.954917
0.950000,0.990000,0.300000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.920000,1.000000,1.000000,5.616336,1.424957,0.458974,0.458974,5.080886,0.885073,1.281489,0.000000,13769.230769,13769.230769,7.000000,1.953753
0.950000,0.990000,0.600000,0.250000,amount,1,0.013769,13769.230769,2000,0.980500,1.000000,1.000000,5.713553,1.405697,0.458974,0.385497,5.145193,0.858835,1.459774,0.017556,13769.230769,11564.903387,20.000000,1.951165
0.950000,0.990000,0.100000,0.500000,amount,5,0.013769,13769.230769,2000,0.903500,1.000000,1.000000,5.584567,1.328150,0.458974,0.458974,5.071688,0.839224,1.338730,0.000000,13769.230769,13769.230769,10.000000,1.950993
0.950000,0.990000,0.700000,0.500000,amount,5,0.013769,13769.230769,2000,0.959000,1.000000,1.000000,5.706538,1.423112,0.458974,0.320873,5.179743,0.883499,1.362477,0.000000,13769.230769,9626.193880,11.000000,1.948885
0.950000,0.990000,0.500000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.951000,1.000000,1.000000,5.646598,1.375210,0.458974,0.458974,5.054807,0.851754,1.350710,0.000000,13769.230769,13769.230769,12.000000,1.945929
0.950000,0.990000,0.100000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.905500,1.000000,1.000000,5.592687,1.315351,0.458974,0.458974,5.054807,0.823567,1.338758,0.000000,13769.230769,13769.230769,11.000000,1.945929
0.950000,0.990000,0.400000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.942000,1.000000,1.000000,5.632115,1.365598,0.458974,0.458974,5.054807,0.852154,1.348223,0.000000,13769.230769,13769.230769,11.000000,1.945929
0.950000,0.990000,0.300000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.935000,1.000000,1.000000,5.619439,1.334815,0.458974,0.458974,5.054807,0.844769,1.342771,0.000000,13769.230769,13769.230769,11.000000,1.945929
0.950000,0.990000,0.500000,0.750000,success_rate,1,0.013769,13769.230769,2000,0.998000,1.000000,1.000000,5.706257,1.457153,0.458974,0.458974,5.165964,0.918293,1.329177,0.172859,13769.230769,13769.230769,10.000000,1.944705
0.950000,0.990000,0.600000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.954500,1.000000,1.000000,5.671657,1.386730,0.458974,0.397226,5.101800,0.859120,1.353730,0.000000,13769.230769,11916.772968,12.000000,1.944590
0.950000,0.990000,0.100000,1.000000,amount,5,0.013769,13769.230769,2000,0.878500,1.000000,1.000000,5.684915,1.443999,0.458974,0.458974,5.049822,0.884307,1.255060,0.000000,13769.230769,13769.230769,6.000000,1.944434
0.950000,0.990000,0.100000,1.000000,success_rate,5,0.013769,13769.230769,2000,0.878500,1.000000,1.000000,5.684915,1.443999,0.458974,0.458974,5.049822,0.884307,1.255060,0.000000,13769.230769,13769.230769,6.000000,1.944434
0.950000,0.990000,0.600000,0.500000,amount,5,0.013769,13769.230769,2000,0.956500,1.000000,1.000000,5.679639,1.415672,0.458974,0.356796,5.134077,0.872249,1.358418,0.000000,13769.230769,10703.881132,10.000000,1.944166
0.950000,0.990000,0.600000,0.500000,success_rate,5,0.013769,13769.230769,2000,0.948500,1.000000,1.000000,5.759910,1.440839,0.458974,0.341431,5.142105,0.887331,1.327230,0.000000,13769.230769,10242.932438,8.000000,1.942733
0.950000,0.990000,0.700000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.946000,1.000000,1.000000,5.733223,1.481054,0.458974,0.272964,5.199010,0.923225,1.307418,0.000000,13769.230769,8188.911984,7.000000,1.942687
0.950000,0.990000,0.700000,0.250000,success_rate,5,0.013769,13769.230769,2000,0.957000,1.000000,1.000000,5.698296,1.414445,0.458974,0.370103,5.117688,0.871029,1.356773,0.000000,13769.230769,11103.093187,12.000000,1.942576
0.950000,0.990000,0.200000,1.000000,success_rate,5,0.013769,13769.230769,2000,0.896500,1.000000,1.000000,5.719680,1.461348,0.458974,0.458974,5.042590,0.893407,1.262589,0.000000,13769.230769,13769.230769,6.000000,1.942264
