Year,Month,all_reits,all_equity_reits,equity_reits,mortgage_reits,all_equity_div_yield
1972,1,0.012203525000000104,8.524000000065257e-06,8.524000000065257e-06,0.012429400999999896,0.0613
1972,2,0.009496795000000002,0.017370092999997366,0.017370092999997366,0.0051514640000001055,0.0574
1972,3,0.002524324999999994,-0.0031606359999972744,-0.0031606359999972744,-0.01585718199999997,0.0592
1972,4,0.0025485190000000824,0.03840450999999989,0.03840450999999989,0.0036739939999999027,0.0572
1972,5,-0.015069360000000143,-0.09369751599999997,-0.09369751599999997,0.013591684999999964,0.0653
1972,6,6.901199999997942e-05,0.09975431,0.09975431,-0.03393333600000015,0.062
1972,7,0.02824924899999992,0.057970287999999925,0.057970287999999925,0.0142215269999999,0.0602
1972,8,-0.011336977000000026,-0.013408859999999967,-0.013408859999999967,-0.017409158999999952,0.0616
1972,9,0.029648710000000023,0.03855276499999993,0.03855276499999993,0.026655971000000056,0.061
1972,10,0.02846502300000009,-0.02315041299999998,-0.02315041299999998,0.05537783800000007,0.0625
1972,11,0.021222815000000006,-0.013087238000000001,-0.013087238000000001,0.03627621899999989,0.0659
1972,12,-0.00018232200000001253,-0.015363224000000009,-0.015363224000000009,0.018460748000000082,0.0692
1973,1,0.0034233949999999957,0.015060727999999912,0.015060727999999912,0.002002279000000051,0.0695
1973,2,-0.06436730999999996,-0.055200091000000014,-0.055200091000000014,-0.07517439400000003,0.07339999999999999
1973,3,0.01589961799999995,0.023795425999999953,0.023795425999999953,0.023773411000000078,0.073
1973,4,-0.038794339000000067,-0.046977570999999996,-0.046977570999999996,-0.06555665700000013,0.0762
1973,5,-0.04034128299999996,-0.028258392999999993,-0.028258392999999993,-0.025379725000000075,0.0748
1973,6,0.009169121000000002,0.02123521100000003,0.02123521100000003,-0.0028710260000001098,0.0747
1973,7,0.021726252999999973,0.03515237399999993,0.03515237399999993,0.006007252999999935,0.0732
1973,8,-0.06532432199999982,-0.046712333999999966,-0.046712333999999966,-0.07192283399999999,0.0768
1973,9,0.078462064,0.06483437199999997,0.06483437199999997,0.08391457599999995,0.0793
1973,10,0.012264988999999948,0.009122469000000022,0.009122469000000022,-0.0053335020000000455,0.08039999999999999
1973,11,-0.14028607999999998,-0.14003130900000005,-0.14003130900000005,-0.15343971499999998,0.0934
1973,12,-0.08536894100000003,-0.002307607999999961,-0.002307607999999961,-0.13176785599999985,0.096
1974,1,0.031041389999999947,0.045846732,0.045846732,0.045288959999999934,0.09380000000000001
1974,2,0.04571848899999997,0.04294994199999991,0.04294994199999991,0.04819102700000011,0.08960000000000001
1974,3,-0.03674597199999996,-0.021770423999999844,-0.021770423999999844,-0.059076397999999856,0.0922
1974,4,-0.12233823899999996,-0.05492897699999998,-0.05492897699999998,-0.13557215600000005,0.1307
1974,5,-0.0565623340000001,-0.07019174500000003,-0.07019174500000003,-0.08377338499999996,0.1307
1974,6,-0.09190316799999998,0.015615938999999912,0.015615938999999912,-0.10761514200000001,0.10640000000000001
1974,7,-0.016009417000000026,-0.07648681899999998,-0.07648681899999998,0.01410938000000006,0.1159
1974,8,-0.17935453599999995,-0.07540807299999985,-0.07540807299999985,-0.21793760100000004,0.1258
