target,upper,lower,adj,mode,min_remain,envs_total,envs_top_effFR,envs_top_cew,envs_top_both,mean_eff_funded,min_eff_funded,mean_median_cew,min_median_cew,mean_swr,min_swr,mean_eff_sr,pct_top_effFR,pct_top_cew,pct_top_both
0.8,0.99,0.5,0.1,amount,1,54,0,9,0,0.870988425925926,0.7032666666666667,47140.742525420195,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7174722222222222,0.0,0.16666666666666666,0.0
0.8,0.99,0.5,0.1,amount,3,54,0,9,0,0.8709880658436213,0.7032777777777777,47068.25770673161,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.717462962962963,0.0,0.16666666666666666,0.0
0.8,0.99,0.5,0.1,amount,5,54,0,9,0,0.8710360596707818,0.7033222222222223,46981.97561395977,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7190277777777778,0.0,0.16666666666666666,0.0
0.8,0.99,0.5,0.1,amount,10,54,0,9,0,0.8710632201646091,0.7034666666666667,46540.2843070451,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7246574074074075,0.0,0.16666666666666666,0.0
0.8,0.99,0.5,0.1,success_rate,1,54,0,0,0,0.8468227366255144,0.6547555555555554,36404.28658886499,2.81136158410335e-10,0.04278262906776284,0.0349565217391304,0.6862222222222222,0.0,0.0,0.0
0.8,0.99,0.5,0.1,success_rate,3,54,0,0,0,0.8468322530864199,0.6548111111111111,37603.73289189083,2.81136158410335e-10,0.04278262906776284,0.0349565217391304,0.6863148148148148,0.0,0.0,0.0
0.8,0.99,0.5,0.15,amount,1,54,0,3,0,0.8628573045267489,0.6827777777777777,47440.32748965945,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7071574074074074,0.0,0.05555555555555555,0.0
0.8,0.99,0.5,0.15,amount,3,54,0,3,0,0.8628606995884773,0.6828,47361.07674786595,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7073425925925926,0.0,0.05555555555555555,0.0
0.8,0.99,0.5,0.15,amount,5,54,0,6,0,0.8629024691358025,0.6828333333333333,47243.9423442955,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.709287037037037,0.0,0.1111111111111111,0.0
0.8,0.99,0.5,0.15,amount,10,54,0,9,0,0.8628912551440329,0.6830666666666666,46936.60774965553,3.3575406986963746e-10,0.04278262906776284,0.0349565217391304,0.7169074074074074,0.0,0.16666666666666666,0.0
0.8,0.99,0.5,0.15,success_rate,1,54,0,0,0,0.8405783950617284,0.643588888888889,36567.98624456954,2.8113615841033493e-10,0.04278262906776284,0.0349565217391304,0.6776574074074074,0.0,0.0,0.0
0.8,0.99,0.5,0.15,success_rate,3,54,0,0,0,0.8406128086419754,0.6436555555555555,36436.09263901201,2.8113615841033493e-10,0.04278262906776284,0.0349565217391304,0.6785555555555556,0.0,0.0,0.0
