Year,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1927,0.5227365134433493,0.30274232976608784,0.2655365543548325,0.33359153891873383,0.3900476114267326,0.47358869501026235,0.36656105243810044,0.3643718608172881,0.2971468406330462,0.47539379592005804,0.248816250011187,0.2794585564752339,0.3691486835370743,0.26472337073823105,0.5831932363535988,0.4064986874138423,0.4222170716693525,0.22935929156420554,0.2608804705588479,0.4045253288705313,0.4581140952625673,0.2937528987244564,0.22555197652854053,0.26320300819292286,0.29236438340646753
1928,0.10347161219528189,0.2918653739748158,0.4308397962160919,0.3436902426960282,0.740220255351471,0.13613197265500498,0.455473174327516,0.25529773084768803,0.3708418748349651,0.5190821359600266,0.4918150296676511,0.5947260037065396,0.5733049022607342,0.2621705944568402,0.2036528504700048,0.5745210788457498,0.41273872045799154,0.24526335913627118,0.3792173750510601,0.20961205822963302,0.4804465742758164,0.36087199409386006,0.3549205977191736,0.16819975134929788,0.3834900344220562
1929,-0.5159843265588975,-0.5910750097719155,-0.5653403662330431,-0.47960940073094804,-0.4492898224507451,-0.5124691600479604,-0.4012631612136853,-0.35491511212006444,-0.37340569315438554,-0.3064404916851392,-0.434430143310106,-0.29395564607314173,-0.15569095433479185,-0.23739182267438286,-0.2184931338006948,-0.30352888480372675,-0.3533181529781213,-0.1250056060222846,-0.1285995181456041,-0.05109806218421564,-0.19529004567897212,-0.019002214750591717,0.014380144295837116,0.03844803688884091,0.00983311358101191
1930,-0.5286247731746017,-0.7080376869407096,-0.47241617465960195,-0.4643551075981155,-0.49018696332416123,-0.5102175196375434,-0.3295509931122458,-0.3417752622752328,-0.4595925725797072,-0.45383333043147545,-0.27805328023941167,-0.29354581855195705,-0.32028854824386266,-0.3221982018397238,-0.5154254699517178,-0.36280034814963613,-0.3212389943007875,-0.3939217583546244,-0.387743466653085,-0.47704976435171276,-0.2505229640619815,-0.2612403862174558,-0.25618961998104395,-0.39740087613983777,-0.737924249982066
1931,-0.798961185670801,-0.46267450461677295,-0.4405816831010533,-0.5004745310835794,-0.5176217171981575,-0.36241688289146634,-0.475582460638987,-0.4142151666925129,-0.4713280594955054,-0.5168347118701884,-0.3941235450464915,-0.4903588288593721,-0.46819722634372585,-0.5331421379440928,-0.5215753048772651,-0.40319213730623316,-0.3865807859556317,-0.5006310579713587,-0.5739746225082822,-0.5342979679384282,-0.3492240077582812,-0.4548285335941945,-0.6749936169551456,-0.6490762534626004,-0.4160332144070441
1932,-0.04324582769911678,-0.4797594666846241,0.14638502665910513,0.09149857553162599,0.12509464010209115,-0.277410524247768,-0.256212240837699,-0.11489874968826497,0.14433051044456469,0.22891889234375817,-0.12933158037753922,-0.00873750142689067,-0.10320358268616858,-0.1626763505005392,-0.15632200340140567,-0.0062763338550968495,-0.06237839542024748,-0.16238255305208338,0.23832267327946655,0.019247219049355557,-0.1140076184908686,0.005008977439857842,-0.1562028704897238,-0.32812742445404697,1.2084620522017055
1933,0.053511807693676694,2.2643835847803135,1.2575214852944905,1.73072961319378,1.7939226087048614,1.341644904229855,1.2242954993619257,1.3551530238152694,1.5161556572808603,1.0390504559656466,1.195396785154359,1.0371450956720216,1.0080290143052673,1.0938085981796029,1.190168143229005,0.7361070757570902,1.2052773449018117,1.0136006635315788,1.0575137255186657,1.6963690268302698,0.3740044181459288,0.6018624800074996,0.7834083322700707,1.0369126907353539,0.4723215782253076
1934,0.35450491742201096,0.17931430988415475,0.31906545047194146,0.35668410387933047,0.15134146923695835,0.4793756959548341,0.3331087266750199,0.1322593386794786,0.10599290586474952,0.07652559866883135,0.5142061746565734,0.2777901253987898,0.24617090549207776,0.22194040837854034,-0.1813615398267976,0.15410032963316844,0.25697432971424305,0.16626107553303715,-0.005363043691772762,-0.32143288088928823,0.10336858595592768,-0.00023926230227167,-0.09298594224228285,-0.19985324900311952,-0.25537254919755314
1935,0.5412754057865083,-0.04195554027199666,0.8771330166679023,0.909435661047312,0.6875855129133102,0.5643360136749977,0.7760290397790073,0.8546786893560208,0.6809645829359325,0.4653535851806745,0.49539813022168544,0.509542876413132,0.7407044161847329,0.463095629713701,0.5246014610667391,0.3817524063132418,0.41444307745621334,0.3865714527290556,0.4563310331106629,0.11982220344680616,0.44632469712135614,0.44924219123179876,0.4579579417745412,0.3512091187691331,0.6191075695403985
1936,0.2623631013477268,0.2511364931831166,0.816259577118086,0.8466078877318794,0.7345955676045877,0.31885036391093746,0.6106296771067301,0.4060868236981572,0.5879075011446302,0.6991718383864287,0.3352187084910041,0.40115368402359675,0.6049065107815865,0.6643387867663126,0.7107034575057989,0.23511218052466099,0.2112385147396405,0.48629375263485963,0.6825668723036724,0.3901004051025938,0.27607132144226454,0.23980498171736508,0.3465590028221237,0.5582822233720652,0.3513696465734255
