Year,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
1927,,0.35715805272922885,0.35328956227353014,0.33112303799161524,0.3286270927865276,0.36792470152726975,0.339472657722965,0.32427888032878993,0.33453072489035396,0.31180028144641336,0.3322644002576287,0.3760684249566837,0.36340150154599327,0.18143159495743455,0.45643873383085,0.365977514547591,0.301685113505495,0.31007527085377085,0.3414019140913771
1928,,0.4212519559549448,0.41760281111661834,0.37888262726706623,0.4863113316652157,0.3484331595424126,0.43967987359627236,0.4017631151807364,0.3778785972227128,0.6212226288652927,0.4407847082429641,0.3673382646802317,0.3288810282600827,0.39019469222735115,0.4745399645863322,0.4199682611710167,0.3903110296743548,0.37608578698550943,0.37823408876483056
1929,,-0.4690775559310122,-0.27985827061989377,-0.10539571504348655,-0.47582684681136367,-0.37691452895902,-0.30059575284746287,-0.2402000288041981,-0.09105152544162198,-0.46073781593214125,-0.4807937990663341,-0.46857367216289414,-0.31808310513110616,-0.3358518266370045,-0.27631446340666765,-0.24757898586419647,-0.2375357991045599,-0.08099494216567271,-0.09359324162685745
1930,,-0.45422506570963084,-0.36984326268770806,-0.2729706334714037,-0.4957735429261191,-0.41914362676441763,-0.33399185460740366,-0.3715591542190809,-0.26520619991772176,-0.4835275443288569,-0.49985202048512645,-0.4252490504606925,-0.41591091057662744,-0.32314506285752886,-0.34122241051202706,-0.3960292852480972,-0.35829605496907724,-0.37427118497828116,-0.23847656998689404
1931,,-0.48960036288026465,-0.46695243039617984,-0.43354811732666276,-0.5216819103016019,-0.4621860721228781,-0.48852965026451023,-0.46005703415651356,-0.4312302695177942,-0.4361111382351702,-0.5497409843990891,-0.4674919803503351,-0.45951065236068245,-0.48442758614963943,-0.49127255255521707,-0.4499640023924809,-0.46561408386201053,-0.5074075289771518,-0.41642905257190854
1932,,0.016847220290802323,-0.08406573292797881,-0.08897060408080715,0.05458356770879291,-0.0008949604847310333,-0.06753284134439308,-0.008956677861246876,-0.09779381979628066,0.2862473412014741,-0.019676377461474326,-0.00569867558162096,-0.002267792395239443,-0.11989470767705768,-0.03401033838258227,-0.12043649693924974,0.053616065535178725,-0.03296782183039937,-0.10840561873212906
1933,,1.5009072131507262,1.070629524903481,0.5273902451211256,1.7158652231311864,1.240338958000538,1.048393197289816,0.9937558997251057,0.49818099406120453,1.4659156390316692,1.826426852238582,1.3574079240549377,1.1672156267798361,1.0720599132553095,1.031566736105768,1.046853337135774,0.9696537877941562,0.7202431091666033,0.45911152477081263
1934,,0.24840826416211859,0.12694317270801525,0.02305918866494494,0.3016517015734492,0.16360841456231756,0.17302916378778677,0.10435118623649142,0.01549514898577442,0.23070447068721345,0.33107743154154945,0.20419724562318708,0.13823321860163484,0.15968567068811423,0.18123034816842654,0.08531975923241952,0.11439715471862089,0.024264367796188457,0.013750403065143413
1935,,0.6728461505598178,0.5101362621568573,0.4400487726519078,0.6983848155358008,0.6847507084632312,0.5953871747807742,0.3900270932880374,0.4447052955089137,0.5493563200766514,0.748640056496487,0.6581345071664897,0.7016261317404047,0.5721671351451516,0.6087919810493465,0.3933774827373473,0.3879757607457701,0.5019143451924584,0.4330270220453345
1936,,0.5786706796889016,0.4865295390993962,0.3070515887899401,0.761749954229787,0.5607967081409397,0.5423105509707502,0.3423036679037339,0.306314943503855,0.9642812285850384,0.6883070866516945,0.4530085144112972,0.6323323282178179,0.5277996291999094,0.5488334196903464,0.3891558449645718,0.3140493529627906,0.31357402651384003,0.30497700666407446
