Year,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1991,0.23105781180316476,0.1889527437803744,0.1960752816825806,0.23343241492536904,0.14931964819823929,0.14789901216850976
1992,-0.09747203956222417,-0.04625639896661948,0.01233125854898165,-0.07007370875076224,-0.06379303367150235,-0.043366704367395426
1993,0.23497180143945862,0.29061764540135226,0.40872503832733176,0.11912565665552166,0.2433716139173694,0.2999428793136847
1994,0.010674157928807437,0.05549827613638869,0.1033122186473936,0.04079586545563463,0.061013861371745914,0.09118527325637138
1995,0.18839829676311082,0.16371358246304157,0.14175420945260475,0.20861569488630916,0.18405851157478104,0.16630683119314238
1996,0.0579549296582047,0.11722880848985451,0.1466892994206459,0.09210853180351775,0.1437408497337116,0.15998502656245028
1997,-0.07967102265323978,-0.012838285989732023,0.029357803289306705,0.14231461198459305,0.16232109664382,0.1613973152729513
1998,0.04694709886084625,-0.004389398878099637,0.05782470074940815,0.3137530456033504,0.14976864657903843,0.1432920806627862
1999,0.5891557203486371,0.2908861335770192,0.22543777170949642,0.37739173470975684,0.2286443804763496,0.13444370065052058
2000,-0.3618015625331099,-0.09249723375199259,0.06470213680792503,-0.27460099640238933,-0.009706044639284483,0.06759210479783873
2001,-0.28230063391211146,-0.07378259534617326,0.015870335897641974,-0.22137269540300653,-0.1415900013749628,-0.09751927511324243
2002,-0.2708177403800497,-0.1217836492075779,0.005394028879242674,-0.22544752824935965,-0.13271485978284225,-0.16976246472429468
2003,0.5585956525749345,0.5428631656657863,0.6280423953704479,0.2746723014450487,0.3915704990684714,0.43908960473393854
2004,0.22042651624170695,0.2655165905153165,0.3079357445643389,0.11110489061787798,0.1826328535059829,0.2264347572144927
2005,0.12881822760349215,0.17269289786332487,0.22176710413243184,0.08408939266688598,0.1178220117947919,0.14348094296688796
2006,0.10450956486122887,0.20977269671684695,0.19939145570473027,0.14015775134426578,0.23451255654786096,0.2666637373907168
2007,0.006962134121230923,0.03461271684324574,0.04043402462380152,0.1580063210915541,0.11436302759574124,0.047198098884345674
2008,-0.4904004522135773,-0.4283105026830829,-0.3675441548702424,-0.3736025451857309,-0.39793804373746144,-0.44969210635077206
2009,0.4596793832743358,0.39841934239811394,0.36699921154477866,0.30828189284404384,0.30701088209891436,0.3155755118179311
2010,0.2552456841599633,0.2595904527887527,0.22086319237172702,0.15506608558683022,0.1279019127660772,0.0880733575624082
2011,-0.12962788034035944,-0.13033413469319843,-0.10889773165835581,-0.018711220545369334,-0.0450184765719196,-0.13413165847522768
2012,0.12311999364726889,0.1550948468136848,0.17826253837413342,0.1647650853538345,0.1406709821793879,0.2356620736437265
2013,0.30625905698357436,0.2913468861876807,0.3062987735746494,0.27844343705490693,0.2653052253546153,0.3206269832751185
2014,-0.02997660009799652,-0.006722837189259034,-0.0288606321988627,0.05411424245388541,0.05478412486785533,-0.004020356110381762
2015,0.06157405114654502,0.045093258392417956,-0.020122899632351587,0.04521596370039305,-0.005630370543990182,-0.06401283011627146
2016,0.0190358180959338,0.1037399529603602,0.20327016749527016,0.02211861653701197,0.08058576352205926,0.13735557020042033
2017,0.2927658218023863,0.26878179102628796,0.2357832184348887,0.2909456638960828,0.22733070329864247,0.20213897668652203
2018,-0.13432594531885855,-0.156186287163809,-0.1752281640929203,-0.04053008574346506,-0.08943194022898704,-0.1477334068000461
2019,0.24735887084015484,0.207142311646207,0.16988564655276694,0.35886147552725567,0.24780728798825002,0.1960531828814973
2020,0.3709965041694423,0.1806404589849122,0.04037405001970451,0.3525651638928262,0.1395477984801723,-0.06273410124096401
2021,0.005982643393612763,0.1088200516635418,0.21407723300766635,0.20427356063507074,0.17421004916574878,0.2524472898516499
2022,-0.3138863779216208,-0.2196714881752253,-0.08066485372164434,-0.28678930485198983,-0.1302715707502451,-0.020481238053124184
2023,0.051832846067471516,0.12557585353751444,0.16177654244130557,0.37185869708375807,0.14245450840044604,0.13760923028093486
2024,0.014776241517683975,0.032242919044574325,0.06513425620703517,0.22014478675620897,0.14916456614871465,0.1387529564278398
2025,0.17728255417139915,0.24229394936651727,0.30570487503483945,0.18175977879193805,0.18772982171071906,0.3513853259872397
