Year,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
1964,0.19403593789342954,0.15994649787212478,0.20628001723667588,0.2221766072729665,0.15765976854571795,0.15811379774605516
1965,0.4237211572095603,0.38012951375871173,0.37460115348255507,0.16776557450554197,0.05844657695354627,0.19959577896147307
1966,-0.07950062727394291,-0.06169624994829459,-0.0631745904954143,-0.06524443038178218,-0.10667333876878204,-0.0895148734090141
1967,0.7865856033577048,0.6529474785545906,0.8021439580984315,0.16374680581292567,0.18900367575604604,0.32943092189279577
1968,0.49348870695281444,0.3010842624476595,0.3612887418812445,0.192861034554765,0.1220897425231684,0.04699708028492822
1969,-0.2683878374160287,-0.22836765703880113,-0.20980507091226286,-0.18612599100629845,-0.1036606392689371,-0.010864720533973027
1970,-0.15263147562426926,-0.06482162644520595,-0.11281833472208003,0.07525968564688834,0.06190118783988119,-0.03070289733452458
1971,0.15373587505854425,0.2250760512215193,0.27747109716617,0.11998437428185738,0.12182791279751504,0.2035872587943237
1972,0.04623386643470195,0.048097097463660976,0.04274598628130177,0.08791258993109374,0.14815126861849137,0.2558140012394994
1973,-0.29246281220952886,-0.3352601415596622,-0.4112138266647464,-0.1240566005717253,-0.14156546915386714,-0.1836742982135865
1974,-0.23237019409107806,-0.24755277321666813,-0.29433664346339006,-0.2881654430859367,-0.21448440184684303,-0.3139082337503831
1975,0.5799130455372159,0.5651212040173339,0.6254095080571107,0.4001735053587483,0.3558186909917993,0.37310188436325764
1976,0.5243444059205129,0.475987238703687,0.4504619012672817,0.2829905282733016,0.2596304558179279,0.22978258089187364
1977,0.16275524371275507,0.20636069780731425,0.21841939397507604,-0.06504744212212499,-0.03963569157360203,-0.07643967031288401
1978,0.1893232575829209,0.1898912221895459,0.2202015812294973,0.013450547527333434,0.0732949788857109,0.08266396102755702
1979,0.491297275143749,0.3648238930625485,0.4357799058653171,0.21621050872853909,0.19971897807436534,0.1979515821612654
1980,0.33546499324497603,0.33344912339134947,0.44584651006857245,0.2276896566269626,0.3242323783222336,0.3732561534626737
1981,-0.05407334348135573,0.0779228627894446,0.03912774406481878,0.02485791202015375,-0.02017193488193947,-0.09187798882537668
1982,0.2611545554278665,0.29072750376623735,0.29248737451948137,0.322927713494374,0.16860150741009394,0.2103830136495235
1983,0.27393338721489213,0.3790276170042288,0.3079272775223758,0.23339746283823737,0.20152336721665276,0.2127317696485398
1984,-0.15361406558147395,-0.002478917014446247,0.02190598447854497,-0.05311781427668161,0.08784790945891685,0.07547435262279123
1985,0.19679004959563118,0.32037625310406326,0.41243049065822723,0.3036535242046061,0.33391572368084455,0.32252887969978783
1986,-0.01843278257384373,0.12244475178640002,0.11295426127714703,0.16874947686170172,0.20246233847961181,0.17096202723049503
1987,-0.13754923941278796,-0.04216540801861901,-0.06905181165385399,0.007113878472165158,0.008626379329918388,0.06687098451182405
1988,0.19601721434786734,0.2770055857341207,0.22304432563431553,0.14504478215405703,0.1748752295123539,0.17940208642317557
1989,0.14701337590356012,0.20485751895524174,0.20547790401263932,0.31519571280360514,0.29486946353069965,0.3140233254779554
1990,-0.2430774632021876,-0.13765628046815737,-0.18694383284082416,-0.11407176279547104,-0.04415283235050316,-0.0154144230794665
1991,0.4640448153368806,0.4487834299798661,0.5590550297940613,0.2807311424561074,0.23322716279727818,0.43139731954286464
1992,0.09756169783767876,0.2082071677655135,0.23812009944950585,0.08111549868522827,0.08957137221849054,0.08739269490862056
1993,0.15990974838074568,0.18967287901181695,0.20005722073035703,0.22489456606267333,0.14374308399616775,0.041588677594337486
1994,-0.09726862138292702,0.00592082375714198,-0.006067314859545925,-0.010748428261567411,0.01190199220097199,0.013978657825954866
1995,0.34055471210008914,0.2538357466652126,0.3048172195217085,0.3505330848825581,0.3119499493817848,0.4233233793588389
1996,0.10040560054685943,0.2273717350484521,0.24026613430661548,0.10012665890449202,0.19797683425220147,0.2633946858603562
1997,0.1670115434834729,0.32183357212673824,0.27638016055142756,0.27377702787422065,0.3089739501148536,0.34514342018523214
1998,-0.02855280531318738,-0.03967634693014188,-0.003195623874734599,0.283742429699003,0.20026378843163273,0.3189091077251074
1999,0.4900513299549394,0.12326172452374484,0.16906890259354546,0.42948913031884306,0.21726668662270776,0.1717678001976939
2000,-0.16594433765504168,0.16820892861063075,0.06528676785778198,-0.2932174136747211,-0.005131143564360174,-0.05402826084875356
2001,0.023033116120131147,0.19142843346200933,0.20481920621280736,-0.2494656315596745,-0.1245185611978793,-0.06530418706049002
2002,-0.31713352026806385,-0.046396172091038745,-0.06237715544619249,-0.35344290067964934,-0.19314823325195163,-0.1876647070778953
2003,0.6965194217361437,0.4254218599468682,0.4806055449213005,0.4198791610740744,0.3210970491629821,0.2251434700417454
2004,0.11249098954115455,0.2335301835709025,0.2838137840465955,0.1175769211023352,0.10133821370334184,0.114625854550513
2005,0.02702404358647259,0.08180812387517045,0.08525328540035337,0.0685572349220247,0.08242014089675731,0.040215091855727136
2006,0.13807383738390944,0.20055283267655355,0.1867300262685545,0.13579477672412077,0.1578875756047502,0.15533649793293658
2007,-0.029688823046826074,-0.012107757162879818,-0.030050205902679594,0.03278259778509396,0.022419306254105154,0.12332440715262982
2008,-0.41257056843753137,-0.29561802941236104,-0.30829958582000594,-0.47834283710672365,-0.41011865351339183,-0.2854115165249219
2009,0.3614824510689616,0.2621723759078285,0.4561920938555941,0.3227294024278897,0.26664605742007996,0.2782952131078129
2010,0.2966136692440111,0.2692547369336682,0.29829094681216883,0.1775911691884724,0.15510757013775822,0.15030959243201303
2011,-0.11652821651254985,-0.0046404204390327886,-0.04104430791418101,-0.14130328455897834,0.027954115712542915,0.05473371447341968
2012,0.17639615786515805,0.18066431553961748,0.16598252657567825,0.22970154318267455,0.18433881177713696,0.12779163037064212
2013,0.43315156963732915,0.4087004510383432,0.46758938577988807,0.42054303359985146,0.3479038773597549,0.3133910636835333
2014,0.04949596382922361,0.04135914550414599,0.03642770933574613,0.10950358140895222,0.10976930553327491,0.14526924915290373
2015,-0.05452885150945963,-0.02889699792005762,-0.08292816478073417,-0.02905563709355563,0.004596328025840313,0.01886371510593232
2016,0.12765144998517464,0.3279294618477513,0.22433932594383732,0.12798031024849554,0.12928912393112957,0.12228804887120659
2017,0.17531013054449396,0.11815612228921868,0.180180199015205,0.172929155311482,0.21872879770612053,0.25936050594068827
2018,-0.07606456243028403,-0.11009844748862796,-0.1730508810698852,-0.09077442607393638,-0.0636735100298953,-0.017787201021045362
2019,0.2489896144168191,0.23084529852079738,0.2158798235762618,0.2424749101110859,0.2924917707666419,0.3497247686010774
2020,0.3511219706760609,0.09718640876958173,0.22907026823347731,0.27374409677436384,0.15278110434622527,0.2915193437179291
2021,0.03367525773410551,0.37918736510487827,0.3613781166179013,0.049652062022180754,0.33346647297003784,0.2563342351241362
2022,-0.2609820540777391,-0.10521309899909126,-0.1758368135622017,-0.22787342061515714,-0.19722983713596387,-0.18081699441474386
2023,0.15772143503882896,0.19960865083583523,0.2479207206648888,0.2874092492402942,0.19697016004907986,0.32275113825191215
2024,0.07747120594902102,0.1435583742075024,0.08144424110422022,0.167908505224186,0.28645965601166257,0.2651501276330701
2025,0.17034566406063711,0.07713273544623345,-0.002523624253970458,0.2198390950671001,0.17281480987797893,0.16748826551351792
