Year,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
1964,0.22691995522271302,0.19808639897906732,0.11578469962313931,0.17355365112032484,0.16650151578147687,0.151919545312047
1965,0.44885253641232215,0.36933480284338094,0.4326175879115899,0.12369377905700318,0.09386669223284083,0.21686977480015246
1966,-0.06398939203056575,-0.09818070738955531,-0.04639363674764774,-0.09010865974972226,-0.09784566611390488,-0.0921657459104177
1967,0.7045712712086698,0.7347500096920632,0.7882448738488921,0.16621945273236727,0.19898870374590505,0.3993792737814943
1968,0.5069181992953455,0.3814013405316461,0.28813984660222003,0.16758289736630338,0.11921191740187465,0.048878650264167156
1969,-0.2539753757978358,-0.1928922356795849,-0.2679272019378315,-0.1518455408646393,-0.06662883893225102,-0.04221216569748709
1970,0.014761736880272602,-0.046996527789685105,-0.2307412159613249,0.1266711257748916,0.03875224962578083,-0.10564494869114571
1971,0.1977426079289737,0.22104544025817052,0.2093741759170158,0.12885936101247042,0.13485443891308013,0.2402955512571754
1972,0.07581299551358733,0.06606995418951822,0.0008517516183486062,0.07993810385328004,0.18452232831863524,0.21870091462681795
1973,-0.31544068404691905,-0.3230059453476908,-0.40057859209893343,-0.1604777630462796,-0.14632021559352093,-0.211906566711071
1974,-0.13040008874670284,-0.2073414555577754,-0.37022256490921834,-0.12719716753349586,-0.27216397536481807,-0.3444488114780908
1975,0.5656333120423582,0.5875636644814541,0.6198078035911929,0.42745506347287243,0.38631971073363447,0.36277691102214105
1976,0.5066164319124871,0.5067479620051472,0.4490960856038917,0.31236817255196714,0.2613288521004353,0.2191759570657854
1977,0.1830367608251915,0.2006527041444941,0.20494301852784602,-0.05538753595380541,-0.05172647877181724,-0.07333435905215946
1978,0.22086959421854768,0.17132716117074298,0.20094183854453762,0.11165188057043984,0.0653098563372636,0.04799906635602569
1979,0.43757960266698914,0.3469561682671134,0.4731428907930404,0.2749489572999708,0.15853702522230306,0.26345925939023696
1980,0.287969329221182,0.31874783108018456,0.45403226931160745,0.3327405661466496,0.282952919526398,0.391174662486816
1981,0.053103885687400876,0.13523262408072778,-0.048241355109927,-0.0050147339031940685,-0.014161912230014284,-0.1161052255255226
1982,0.35156947604475053,0.3702343068366003,0.19201295682316766,0.29972706700714413,0.2593448736435784,0.1082457111865347
1983,0.43461578299865233,0.38283076854342335,0.24843609332137517,0.3162165989844101,0.20876682441065064,0.17297101335705656
1984,-0.07583695216277575,0.068387832540874,-0.07892403239048729,0.06565029782740894,0.09337290096358841,-0.0003561894231929319
1985,0.22992374880141386,0.3852455757303339,0.3049158425732965,0.32347221065223963,0.33078361678873125,0.31188002887078015
1986,0.0565828374723687,0.14614797575400917,0.039468319123808326,0.2589703811870805,0.23466366826260443,0.06641991560998584
1987,-0.04033618762717073,-0.036367900478438075,-0.14499157155057674,0.05719438661365395,0.03434139229944222,0.02556787889299761
1988,0.2845726759260332,0.2723138770538245,0.1584968281749144,0.2120327725773543,0.16836213353278784,0.1533425247129243
1989,0.1753829340368156,0.18532963427772264,0.1723640874962542,0.41412185678055047,0.2766843132484109,0.27217999591717956
1990,-0.2142212176866407,-0.15148607160883887,-0.21826391571990555,-0.04617963690293625,-0.02722419594796066,-0.060362054543320554
1991,0.46695852176863095,0.39222773538734423,0.5458011531280371,0.2542753204553825,0.2582623382350002,0.4793193143662575
1992,0.22566182039989813,0.24852406339879507,0.10020208914773754,0.11558066802312661,0.07620802184008779,0.09889731326946061
1993,0.2506702652022019,0.19086099621375907,0.14876848311558155,0.18524999998794,0.12389544889825688,0.0457313526247618
1994,0.011972917081223944,-0.006339614458389375,-0.061287665902023836,0.01011487950681933,0.008810553544513988,0.00619296911812528
1995,0.324567001438407,0.2600171841871879,0.2934117984439568,0.39096221551494126,0.3758841377850821,0.37163938737621627
1996,0.1850474706275178,0.20605956634850497,0.13437737218171986,0.21467394002945994,0.20952935663324013,0.24927427230867472
1997,0.2669596803882306,0.34167332883368795,0.1685379643566578,0.3167132247229165,0.34076117879565193,0.30762030119750605
1998,0.008005416395378662,-0.005480438035405211,-0.04230187642795058,0.22612084867491422,0.2518217871493422,0.3570639718240216
1999,0.46069505487969353,0.18156531731950043,0.3109312351440434,0.05944189597550076,0.2093811295145378,0.34487645301850445
2000,0.0494048626450041,0.1434017376211314,-0.21860512843678415,0.07551329625012593,0.06887750632395195,-0.2566719124631526
2001,0.11944750785248992,0.21763759048869935,0.051013272457194336,-0.013634321608315458,-0.048069241181108224,-0.21035950109918433
2002,-0.14916048458738995,-0.047861038246396204,-0.28732407946599325,-0.12581767225023854,-0.16895936277746837,-0.27179998189335197
