Year,Mkt-RF,SMB,HML,RF
1927,0.28634909548280163,-0.016240798542473622,-0.03012763665813012,0.031340782429982283
1928,0.34449052409094305,0.029688388989232983,-0.03888266088054426,0.035355979534331006
1929,-0.18793734525924555,-0.33420370924101983,0.1366620066874531,0.047397677669483995
1930,-0.3046385683111844,-0.06322478406336973,-0.16110689887342444,0.02426179995774591
1931,-0.44396955078365385,0.06966005801814656,-0.15590545877519757,0.01085244021158438
1932,-0.09551748503493163,0.061031868392554145,0.32669240631042307,0.009436727769233766
1933,0.5639490047260469,0.3546121450846971,0.3374515379524119,0.003003642310775989
1934,0.030825303704039797,0.31361681236117045,-0.19410361818739852,0.0018014106441925914
1935,0.4480733142161981,0.0727396825752824,0.09079176971049274,0.0014008903400868356
1936,0.31920355654239807,0.1378607867851218,0.2772809911624299,0.0018014506902150895
1937,-0.3492603920653655,-0.19795241575548994,-0.04290023122495301,0.002903722791360863
1938,0.28226430572766925,0.11697168505270406,-0.0653735700084428,-0.00040013999199772776
1939,0.02499913651657404,0.11844326322823884,-0.1253032932344481,9.996999700012665e-05
1940,-0.07182674421238944,0.028075426719145424,0.008050590337643326,-0.00020000999799996144
1941,-0.10583905227059043,-0.033868383596391216,0.13568008095483552,0.0003999999879995553
1942,0.16175860378999363,0.03958629420093529,0.17591746678184084,0.002803552693358524
1943,0.278799376115046,0.2707912663744947,0.30833617717140616,0.0035056154485655355
1944,0.20951028976956887,0.15375846354106515,0.13716871162594813,0.003304984546792511
1945,0.38304502370122573,0.195528906568039,0.08492154470724023,0.003204684138460756
1946,-0.0673485166658101,-0.0267106936981657,0.038480289961006164,0.0036059459440107577
1947,0.029202068842675066,-0.0651453273069682,0.10063234373261842,0.005011295205620936
1948,0.010367709640462408,-0.09043543172243962,0.04482782190324475,0.008129886047644863
1949,0.1889023558509575,0.03622489753402425,-0.03161145901303852,0.011156624285101113
1950,0.28534537628509105,0.010850186609347556,0.2139533577756021,0.012167285608502887
1951,0.18947175584729692,-0.04424901072169829,-0.04668320674876558,0.014900682357239514
1952,0.11644835409444698,-0.062399544169239096,0.033214639909888266,0.016523610223637464
1953,-0.010936442738543661,-0.012870573611464153,-0.07550042185574357,0.018250470808234942
1954,0.49063559896478726,-0.01755303321469015,0.19185481952775518,0.008633779696225474
1955,0.23446080135235792,-0.05628381413721062,0.045210159169949415,0.01571120418944094
1956,0.05737300858543004,-0.01298499187490243,-0.022710566013249722,0.02467423803643576
1957,-0.1278920268091528,-0.028275353474804144,-0.073162386196156,0.03154688516655124
1958,0.42866736891970914,0.10147802974928033,0.0946154963444863,0.015303139073847616
1959,0.09530112746990582,0.046990988402264344,0.013698648207683961,0.029695306965618284
1960,-0.014467592916253325,-0.02939654722504015,-0.05100143938110702,0.026718544210524886
1961,0.24347164111996378,0.010844331633973692,0.04374419523161155,0.021203049199982615
1962,-0.12605956413266284,-0.08038772138449723,0.09042321219700011,0.027336311308159722
1963,0.17353154986789776,-0.05065214372463844,0.13790741997439793,0.031135408238646134
1964,0.1215690997471297,-0.011764028246365132,0.09057533829633768,0.03525706968952402
1965,0.10147921650959235,0.1970015700098926,0.06166798289910891,0.039186368239543246
1966,-0.12991235192404993,0.032752113711545405,-0.011427925002016392,0.04750339219432975
1967,0.23587722188250893,0.4106877230187469,-0.041008527944015105,0.04208973213020073
1968,0.08506948941848047,0.2208900671953129,0.15038630912897322,0.05220876393709961
1969,-0.16527587402060884,-0.14226884325630484,-0.1097771379344733,0.06569703672500227
1970,-0.06084713206871384,-0.10772673543982658,0.22119962711046637,0.06516705987919003
1971,0.1132241489901018,0.059480503533061,-0.08739575204744876,0.04385608936775598
1972,0.12638077463372666,-0.10636745258872127,0.017193609533594056,0.03835711405871467
1973,-0.24659638321559174,-0.2511189908981165,0.23361266917751422,0.06940964906929548
1974,-0.3337557770787041,-0.013471938941793882,0.10571315507615009,0.08009299500445022
1975,0.3090531684662763,0.11949408309841925,0.07282724376688798,0.05798431629002376
1976,0.20933095288516101,0.1211592038028928,0.20616581690948332,0.05084710391799252
1977,-0.07871694223313042,0.2343528197404341,0.07407973383538513,0.05126495522821517
1978,0.009668839961156417,0.15253169740134176,-0.010948556175144786,0.07196501341871353
1979,0.11949671943222473,0.18423336312248706,-0.015312610364209944,0.10383344304584252
1980,0.1982811998973879,0.05201744081895088,-0.1838807469985012,0.11258733475368765
1981,-0.15848556572806682,0.06800905302648652,0.25118326510679223,0.14717474781887474
1982,0.09880571025598806,0.06508373718652694,0.09141055794815989,0.10534507994232412
1983,0.1272264115104429,0.11509140362788495,0.1581844431821129,0.087957322322191
1984,-0.054960856524349455,-0.07806509936139416,0.19237746384259968,0.09837053073148572
