Year,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1991,0.03247922649377455,0.03378285358139599,-0.03961057740158214,0.16174923326802992,0.08906073827438776,0.0966636879093794
1992,-0.16211457135340213,-0.18917303283164777,-0.19692543385112582,-0.07971249649081524,-0.04794021373747048,-0.0711516494525033
1993,0.24012720012493016,0.28306247288881825,0.44646423851157335,0.1584457134453987,0.31291251949826315,0.3963987792256929
1994,0.06699225805676168,0.09474465382818664,0.16426981970628107,0.01988358047434824,0.011635201149786,0.0563769992356109
1995,0.1208541876183844,0.09012394119028388,0.07397530170294475,0.24808675323075402,0.17809860524756105,0.16175458144280297
1996,0.17635660719579893,0.18880739163069094,0.2141393917003931,0.2026077814792755,0.24036174261814325,0.20498717197625682
1997,0.026130462886501338,0.08263769751451822,0.16802617498374128,0.17985496842401272,0.21345751909344202,0.28768748262531973
1998,0.12151568411049185,0.04158904307649913,0.1652062723077723,0.2986052935057242,0.25804942317408774,0.23587030864981262
1999,0.4992333851000448,0.2564866332567548,0.18216123185029143,0.22004856591584998,0.17811933250225231,0.07227567665949275
2000,-0.30410255932058883,-0.1238539724280403,0.02077268719397085,-0.24297218340688198,0.017752346178752765,-0.013682890474516984
2001,-0.39447877561648537,-0.173193450709626,-0.0318002667076579,-0.303916497214917,-0.16349942266414885,-0.14433542708547376
2002,-0.25594228402508123,-0.07025274470132004,0.10743564532077898,-0.19675963836554833,-0.1299555046152021,-0.1294435981871903
2003,0.49259706766272604,0.5701431807670567,0.6674576934482679,0.31610044144571803,0.438784676997239,0.5502038323496374
2004,0.2452557828145272,0.33643178980558397,0.37357908580226606,0.1699480580552868,0.2618731820478788,0.2643109691440726
2005,0.10985015573665624,0.17995768597379969,0.2365504343296132,0.08683949031347082,0.11413954345344379,0.1490264523698761
2006,0.4085913664777432,0.4206013637681687,0.49182055703758554,0.3035502574938762,0.3487288521648624,0.44148068254976325
2007,0.01662242627200916,0.08751993895873644,0.08015721016616584,0.18125096579815714,0.16416093138704424,0.11668116467136147
2008,-0.5376974332961941,-0.4985420926391404,-0.5053422436822947,-0.3992192813710299,-0.45077111017048566,-0.497543533456711
2009,0.5480875259976252,0.4360524664988388,0.49420023469851837,0.32596892644592357,0.3114336190752123,0.41193927861387025
2010,0.15823247299972065,0.2029960225881422,0.09430542025863753,0.10817530923882668,0.05010071591653609,-0.0003586894137571628
2011,-0.14860412205685947,-0.1873488913205852,-0.24214706538375108,-0.042006433067250604,-0.1128700842404936,-0.2064181942666895
2012,0.242745244719607,0.2198974917663492,0.22366343063784488,0.2176883112769774,0.15672020395841502,0.2751724199765788
2013,0.3156020251136338,0.34509741542083927,0.41081936970058663,0.21468985466509438,0.2736175824817497,0.32631784802296626
2014,-0.08806380825879978,-0.06656779996290008,-0.09788892028952301,-0.014146903291473834,-0.05735486321084149,-0.11038720893186693
2015,0.17055544704587744,0.10840291325277907,-0.007324880851096505,0.046052069498696335,0.01936502757329217,-0.11048802061332863
2016,-0.025497236999874606,0.033277497042677906,0.09920339417955049,-0.06542161723386186,0.01772274251423811,0.031618331881056116
2017,0.32424409472271276,0.3659852908722765,0.3565512794229291,0.2589812183893596,0.3093410273490562,0.28666654898498156
2018,-0.18237938979242152,-0.1820286403868009,-0.17885692417846877,-0.09409798460682339,-0.15710440046101393,-0.16437564921662873
2019,0.28336736766757187,0.1929069394353955,0.22184852950065848,0.33577663738428587,0.23563943455189107,0.16217316718881158
2020,0.43291398411749493,0.19350177211406638,0.054407639851489,0.17744498252756769,0.10389330621124926,-0.046078450726783404
2021,0.08264555903930337,0.17052893519368872,0.20398988463488843,0.21921662801867803,0.10421089236750825,0.1970771857646212
2022,-0.35699461761615714,-0.25135297292255543,-0.11544460161451087,-0.22847009591806033,-0.13784221127062468,-0.08726591848738308
2023,0.04900988698679609,0.07243838563508342,0.20087913646669509,0.1834415762340713,0.1848404941314552,0.2140288294080095
2024,-0.05906434686535744,-0.01599914495216992,-0.002387681155952004,-0.0311523935151089,0.015549588469070175,0.07935655728561342
2025,0.22231675451532862,0.31958808987258225,0.37333022987627706,0.1987522904003043,0.336041860438288,0.6383066578889176
