Year,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1927,0.14717878644728932,0.3968774345865662,0.3289899142092605,0.1462087556743732,0.2939956314820018,0.45326198589675326
1928,0.23661322398516882,0.4031711049579787,0.42848074328104047,0.24351664597487743,0.3113536370061003,0.5825632678400681
1929,-0.4852934786067531,-0.35526756678649485,-0.37293514193570365,-0.3822905062360199,-0.03948907660632206,-0.10001440866690314
1930,-0.5091606553388918,-0.40501033513972895,-0.3039953544814038,-0.4889359672914466,-0.3366094050785683,-0.21221783233028568
1931,-0.5923350246666472,-0.4803540695064522,-0.3699195615001837,-0.5938357741788879,-0.5003586018363272,-0.3503662637348959
1932,0.1372067163364432,0.05294790029853691,-0.13693979470938067,-0.04091912903868178,-0.05994183411685017,-0.1782569802607853
1933,1.194362574908038,1.4228188565967521,1.2153093151667345,0.48716219176523423,0.6111251862831368,0.8294155972930337
1934,0.15332556045009094,0.15687527759357756,0.42444188958084195,-0.08968050347756018,-0.010485613158517482,0.014654983188363557
1935,0.5005227522860565,0.5540622692563208,0.807747340998137,0.451900640913504,0.42198139071453533,0.5678843968334535
1936,0.5635600803703149,0.570687888966541,0.5442669109763718,0.21947920266332033,0.33908098341260473,0.3564186002510916
1937,-0.5003764171633401,-0.45166774783616326,-0.5250593360357624,-0.3089582063604157,-0.3537638588179095,-0.3634754736847845
1938,0.35870540975335197,0.4448946130889133,0.35418968373702797,0.28604690150987455,0.37356846495987184,0.2242426800724613
1939,0.044335943507337605,-0.0038209247636905586,0.04119807303084633,0.008227710972119162,0.04647463133234009,0.0038043784601295982
1940,-0.12263588931559521,-0.06869145442914082,0.03625430638117022,-0.07285841516170766,-0.04790634966102236,-0.11293930301718569
1941,-0.10644269698051312,-0.13677856673313005,-0.042634692456672285,-0.18288062329159438,-0.11607096339477174,-0.03974935143929992
1942,0.37941715112327135,0.3086226971289556,0.23374537126645567,0.27750603749843816,0.13733497272700634,0.09352179337839384
1943,0.6086107696163183,0.5827761899230612,0.7466749052079795,0.222225848100561,0.27547065042440133,0.37404303836737895
1944,0.43978819871900154,0.4166950663899196,0.5007819264924831,0.18403045931269446,0.21879151473913416,0.31727818698475474
1945,0.6638821226667948,0.6817951418163157,0.6920035682593015,0.31911679654598646,0.3934892734038804,0.612570015335713
1946,-0.1691820666628423,-0.07177942527253034,-0.0939281189699881,-0.10017629385194082,-0.022350365408094652,-0.05886576083556616
1947,-0.11700225324490321,-0.005853741279864599,0.10280649641029127,-0.03612773006896819,0.07076647140741588,0.04210601701602301
1948,-0.1375074726950576,-0.03310992381941791,0.01399481233302624,-0.02644429398717152,0.00788048352971149,0.05466276842507334
1949,0.2061204603248128,0.19237747736845723,0.24891396913862018,0.25060055046010943,0.1837650421282726,0.21660278494113405
1950,0.37450450574537686,0.3384739416118292,0.46552194233964617,0.189493335835893,0.2926831791148803,0.401852602022589
1951,0.10975326719976475,0.13576402308059277,0.18776647576334926,0.14895867549270148,0.20097261542511569,0.2911942339839084
1952,0.02637985058104575,0.11535879456797726,0.13282568108973547,0.09303930856856923,0.1285730194157726,0.16819759824908975
1953,-0.13618926444187507,-0.022126875948199176,0.05821022834120426,-0.07966656182549536,0.017574568157012305,0.04992370589698081
1954,0.5914560870398453,0.5587675490290158,0.6238410847748028,0.39286982332303966,0.4604735578125281,0.5652416121708594
1955,0.15612823506110174,0.19681960696379197,0.2896004409662585,0.1551047471886282,0.27597111697008647,0.3015455505524909
1956,-0.0445033148331887,0.05604046572375743,0.22093933710535074,-0.0034479908807426574,0.09560088713242765,0.11125320432805319
1957,-0.2359844552668826,-0.13255452348491603,-0.14014673439948322,-0.18730742499795694,-0.0661571606296768,-0.08949317789852407
1958,0.7147463680842965,0.5827132697830062,0.6252452777489488,0.5242617789826305,0.4312782885119646,0.4236545724055638
1959,0.08054239842816258,0.19810533938783337,0.25766247215917004,0.018635883552418298,0.1415460408650473,0.22969419503786814
1960,-0.12723820282470788,-0.021063028951035956,0.04204425840150794,-0.07026574840800004,-0.03145649683079432,0.10246048738883173
1961,0.25610594384304286,0.29522998165475745,0.3985961971584062,0.20008172853471518,0.28342073253976974,0.2745732028179315
1962,-0.21802946976162196,-0.08569558561629775,-0.13204382752747446,-0.2065114654834037,-0.10003340850507403,-0.050974910443319366
1963,0.12066502651705857,0.18089309301903156,0.27539876323845447,0.15177669975691077,0.19678317944691637,0.2280351663874487
1964,0.1305233206230434,0.20533550245821242,0.19201491358128298,0.16107208851022703,0.1354301288763926,0.19049232201718502
1965,0.27097057487483744,0.35208098971189195,0.4670001709755549,0.09539349905870664,0.07175527032894768,0.3004459707411191
1966,-0.10346062703790548,-0.07557223834538984,-0.02902038393827644,-0.13438896605486939,-0.09114475632871877,-0.011104490284885027
1967,0.6352811792971378,0.6770745079603351,0.948543448494062,0.2828920703413971,0.1466595644968236,0.40482130586479514
1968,0.36463587996452995,0.39531064223606527,0.42745731749906657,0.15171779833945376,0.0856409413064878,0.14400664216739267
1969,-0.3487678637323124,-0.2573173824738054,-0.19400558300280235,-0.12558313743759686,-0.11429147865421996,-0.0734111178454242
1970,-0.1550000277754804,-0.0384396857202568,-0.12717998978584244,0.07045346468031632,0.07684349553620118,-0.03812719008629872
1971,0.13691087363630694,0.16174909433107065,0.27030936487211776,0.226358553773766,0.1512440799716106,0.15910542255251103
1972,-0.03697211770097464,0.05772217746376884,0.09589354089836322,0.06752022940965974,0.18445993809678196,0.23871240002739857
1973,-0.48031329826787084,-0.3092916124919197,-0.22109751508177378,-0.4392665650794898,-0.190216475175368,-0.10520671469146015
1974,-0.3330841680749882,-0.2577377239442502,-0.23065944926799775,-0.29944015208065167,-0.274516749107514,-0.23509349340155827
1975,0.6670160248067718,0.539448977413006,0.4997474330855485,0.5125581708818865,0.35866446718747635,0.29642748601472313
1976,0.44715454940872057,0.5139727394176514,0.4934415176724005,0.1551751440150786,0.3199865073903163,0.2565677650143292
1977,0.08061239838169554,0.19206931966421448,0.259966399912938,-0.13371389133667,-0.030902284492352328,0.04758656528981353
1978,0.15481433361611407,0.17494526930797516,0.24603827976915738,0.04234535198282097,0.04351044118106029,0.1863002978686692
1979,0.29152496300269837,0.33075416795781876,0.5577375326069458,0.1411709916075945,0.15429344169219195,0.39841040104556846
1980,0.21753612248445386,0.2588674180396606,0.5876910215612101,0.19217567349993625,0.22290339863286346,0.5434222309068901
1981,-0.013818653797915359,0.11913011108099503,0.04190032711068814,0.06776743093256976,-0.024737652174390612,-0.14951533680511997
1982,0.03762668949127934,0.3069491778639468,0.43367128886130923,0.06972786633964745,0.18472770102107683,0.35418810488298336
1983,0.3350778146422586,0.3392079433414952,0.30571975250800576,0.29468937917013927,0.1867398966022813,0.1290310263063692
1984,-0.16287735918119894,0.0245452904378054,0.029390454343242167,0.02399738123889228,0.08392287634001616,0.01648864013584661
1985,0.16448507610409213,0.3331279991353002,0.41307830421411307,0.2855451541480374,0.34380887452495235,0.3337262038151545
