Year,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1991,0.0370259044940775,0.10332871304814484,0.09253460345416342,0.04863624990093807,0.09717194474361968,0.07174520809886031
1992,-0.3287641995758511,-0.2611794009327755,-0.2800732588218051,-0.2102739581935228,-0.2844106405077279,-0.17647643372437205
1993,0.17003944443150631,0.1763101148894448,0.2224599790316597,0.21525569586923354,0.27006716208303727,0.270597781026612
1994,0.2485735062518104,0.28315738930177137,0.4149840467090429,0.13517121077480287,0.22321896968164645,0.3440487684461915
1995,-0.05424253993460981,-0.038464381688593785,-0.07161705598969081,0.0005130387559613148,-0.018516919194341175,-0.06268412904289555
1996,-0.23251184605250097,-0.21886087805188315,-0.1983610990902459,-0.19682535988794458,-0.1429351433757603,-0.08066898733233996
1997,-0.5271067713487376,-0.5290602437179814,-0.5358437369270246,-0.19217100978558488,-0.2904971301966345,-0.3577198070321126
1998,0.17623935165715232,0.18210587663656708,0.14022561056496174,0.039586331455488066,0.13194079256285862,0.04466192812324832
1999,1.124734929852238,0.49270717120450325,0.3467497833400912,1.1485963203402005,0.5043201472569281,0.6218367204582065
2000,-0.4422836625053591,-0.24928729703974128,-0.09133771892890996,-0.4919748036003194,-0.1600718792508331,-0.07547453064838894
2001,-0.30743282678602923,-0.2206048216864669,-0.1425061545319678,-0.3345806350342798,-0.2729683967420031,-0.18540695181339983
2002,-0.13511689042694452,-0.011218880520659336,0.02393305096667442,-0.1258186510199657,-0.0525806216851219,-0.03084785079075425
2003,0.6949960416016461,0.540966272934785,0.631350191545238,0.2762990109022243,0.3796147417392375,0.5968917897457113
2004,0.3456320929544423,0.3219648717236352,0.4293860085617005,0.10153441111036732,0.16739075015703087,0.24934480216096544
2005,0.3442673518866941,0.4115424922911364,0.39616385674558674,0.2465587263255209,0.2722228718045929,0.23994364865076223
2006,-0.32144991352596974,-0.13514125554395606,-0.14167843425654658,-0.06816071870834617,0.11028179267715665,0.010652861053818574
2007,-0.20960118250003268,-0.12239876499071578,-0.07240189890216409,-0.06949340271656124,-0.01276641743032736,-0.08283388758566401
2008,-0.29206782015091515,-0.19567302434250256,-0.08972285017075865,-0.30778723085784,-0.2819945763726378,-0.13633055616108491
2009,0.09128733811711331,0.06810740310563124,0.03395703337733358,0.05543652365933993,0.06838538981634712,0.023005104898039308
2010,0.2103249213282068,0.19620102801883665,0.24345320764804423,0.21953793001766142,0.11358155390428193,0.1256574308058227
2011,-0.07192036080476172,-0.026369253275609683,0.04569233451620036,-0.0883120748939964,-0.13582973888695582,-0.08427368841337135
2012,0.07684721840185227,0.05734505063941864,0.1006328858199308,0.05438322253462924,0.07812977528144893,0.053631281948729015
2013,0.5473169940015448,0.3136184623614944,0.2430574950083133,0.25795939610781304,0.26872953291741575,0.32735545800564947
2014,-0.021482393363794317,0.03965560045373917,0.035277888443350225,-0.03182814759139896,-0.021947321825039,-0.05456332275799025
2015,0.13202575486282475,0.16731906153049914,0.1066239544649723,0.11766861707953824,0.12167974492782885,0.1463166180974238
2016,0.10841901638781404,0.10137634526692985,0.1396029471465059,-0.005265821734175002,0.016621384928338534,0.06841927269314807
2017,0.47571211092788324,0.40912029435775077,0.4109721035704639,0.27747341278875925,0.26450081685326565,0.21352054970231404
2018,-0.16819385885134386,-0.16650216111733873,-0.20405915143836617,-0.10675982224928049,-0.13641817724524474,-0.14124254864897123
2019,0.23666943820519792,0.19666235135701782,0.19325837166784954,0.3082493389251504,0.16883356991074616,0.0935422919701705
2020,0.18892483985295505,0.09257453018089756,-0.015428546178725244,0.3550555493598775,0.10646069613551279,-0.07671013506453728
2021,-0.1503486522379207,-0.007883380226204828,0.013388924348478382,-0.07163176514403036,0.03397640304283844,0.0924376454031155
2022,-0.20783953089303786,-0.12297302352524686,-0.054651362201772025,-0.2662434131225595,-0.11384887001187982,0.026843098641775587
2023,-0.04754997217573853,0.13678210489624543,0.253734527156517,0.1398361693813599,0.1993917883236589,0.25713049362204976
2024,-0.09224655598344067,0.03393382111887355,0.06423282986144563,-0.0010319580189525057,0.08097168652667475,0.16637309817888624
2025,0.11536932303678404,0.2630658119039462,0.3926333759664711,0.1391153253200217,0.31689027813808157,0.34311312845134334
